event_sequence,source_channel,shadow_action,shadow_reason,fresh_touch_allowed,fair_mid_source_status,edge_gate_status,would_submit_shadow,real_order_authorized,real_order_submitted,fill_observed,fee_rebate_available,inventory_transition_available,live_realized_pnl_proof,preflight_status
1,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
2,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
3,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
4,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
5,l2Book,block,missing_same_side_strict_through_support,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
6,trades,block,missing_same_side_strict_through_support,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
7,trades,block,missing_same_side_strict_through_support,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
8,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
9,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
10,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
11,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
12,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
13,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
14,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
15,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
16,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
17,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
18,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
19,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
20,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
21,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
22,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
23,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
24,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
25,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
26,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
27,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
28,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
29,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
30,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
31,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
32,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
33,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
34,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
35,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
36,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
37,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
38,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
39,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
40,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
41,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
42,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
43,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
44,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
45,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
46,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
47,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
48,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
49,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
50,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
51,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
52,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
53,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
54,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
55,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
56,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
57,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
58,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
59,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
60,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
61,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
62,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
63,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
64,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
65,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
66,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
67,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
68,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
69,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
