event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,freshness_source,touch_stability_ms,last_touch_change_ms,top_reset_status,top_reset_reason,fresh_touch_evidence_status,inference_scope,shadow_action,shadow_reason,fair_mid_source_status,fair_mid_source_reason,edge_gate_status,edge_gate_reason,fair_mid_px,edge_ticks,binance_source_age_ms,order_endpoint_called,private_endpoint_called,credential_read
1,l2Book,1782188662697,1782188663088418749,0.391497,buy,63928,63928,63929,1,0.005,15.31004,50,3062.008,0,0,0,0,15.31504,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
2,trades,1782188662014,1782188663100431839,1.08655,buy,63928,63928,63929,1,0.005,15.31004,50,3062.008,16,0.69821,0,0.69821,15.31504,0.04558982542650884359427072995,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
3,trades,1782188663060,1782188663336684325,0.276722,buy,63928,63928,63929,1,0.005,15.31004,50,3062.008,17,0.70315,0,0.70315,15.31504,0.04591238416615301037411590175,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
4,trades,1782188663542,1782188663760224555,0.218286,buy,63928,63928,63929,1,0.005,15.31004,50,3062.008,24,0.70315,0,0.70315,15.31504,0.04591238416615301037411590175,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
5,l2Book,1782188664380,1782188664752194218,0.372325,buy,63928,63928,63929,1,0.005,13.34678,46,2669.356,9,0.00553,0,0.00553,13.35178,0.000414176986139675758587993511,touched_quote_without_depletion,,0.00138,False,missing_same_side_strict_through_support,real_bbo_history_touch_stability,1683,1782188662697,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
6,trades,1782188665039,1782188665344159234,0.305241,buy,63928,63928,63929,1,0.005,13.34678,46,2669.356,9,0.01049,0,0.01049,13.35178,0.0007856630351908135095095934774,touched_quote_without_depletion,,0.00262,False,missing_same_side_strict_through_support,real_bbo_history_touch_stability,2342,1782188662697,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
7,trades,1782188665401,1782188665598989425,0.19803,buy,63928,63928,63929,1,0.005,13.34678,46,2669.356,10,0.01049,0,0.01049,13.35178,0.0007856630351908135095095934774,touched_quote_without_depletion,,0.00262,False,missing_same_side_strict_through_support,real_bbo_history_touch_stability,2704,1782188662697,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
8,trades,1782188668821,1782188669353111285,0.532192,buy,63928,63928,63929,1,0.005,13.34678,46,2669.356,1,0,0,0,13.35178,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
9,l2Book,1782188669738,1782188670041901152,0.303952,buy,63928,63928,63929,1,0.005,10.59407,43,2118.814,1,0,0,0,10.59907,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
10,trades,1782188670587,1782188670805312296,0.218349,buy,63928,63928,63929,1,0.005,10.59407,43,2118.814,2,0.0002,0,0.0002,10.59907,0.00001886958006693040049740213056,touched_quote_without_depletion,,5e-05,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
