minute_bucket_exchange_ms,candidate_count,l2book_candidate_count,trade_candidate_count,synthetic_current_event_only_count,fresh_touch_evidence_pass_count,strict_trade_through_seen_count,at_or_through_trade_seen_count,visible_top_plus_order_depleted_count,allowed_count
1782283080000,19,7,12,2,16,3,13,3,3
1782283140000,46,11,35,0,38,4,27,5,2
1782283200000,50,11,39,0,42,1,36,0,0
1782283260000,45,12,33,0,35,9,38,3,2
1782283320000,47,11,36,0,41,9,32,9,8
1782283380000,44,11,33,0,34,11,34,14,8
1782283440000,110,11,99,0,95,49,103,75,0
1782283500000,100,11,89,0,84,47,91,41,36
1782283560000,61,11,50,0,51,10,33,9,7
1782283620000,53,11,42,0,44,19,42,18,2
1782283680000,24,5,19,0,22,1,16,0,0
