event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,exchange_time_delta_from_previous_ms,local_receive_delta_from_previous_ms,exchange_time_regressed_from_previous,previous_l2_event_sequence,previous_l2_exchange_time_ms,latest_l2_age_ms_by_exchange_time,previous_trade_event_sequence,previous_trade_exchange_time_ms,latest_trade_age_ms_by_exchange_time,next_l2_event_sequence,next_l2_exchange_time_ms,next_l2_delta_ms_by_exchange_time,next_trade_event_sequence,next_trade_exchange_time_ms,next_trade_delta_ms_by_exchange_time,local_receive_ordering_status,exchange_time_ordering_status,bbo_history_count_proxy_from_candidate_events,bbo_history_span_ms_proxy,freshness_source,fresh_touch_evidence_status,top_reset_status,skip_reason
1,l2Book,1782283106232,1782283106958865637,,,False,,,,,,,3,1782283108940,2708,2,1782283106096,-136,latest_l2_received_before_or_at_candidate,no_l2_visible,1,0,synthetic_current_event_only,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
2,trades,1782283106096,1782283106959899105,-136,1.033468,True,1,1782283106232,-136,,,,3,1782283108940,2844,4,1782283109007,2911,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_after_candidate_visible_by_local_receive,1,0,synthetic_current_event_only,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
3,l2Book,1782283108940,1782283109213810146,2844,2253.911041,False,1,1782283106232,2708,2,1782283106096,2844,5,1782283114309,5369,4,1782283109007,67,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,2,2708,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support
4,trades,1782283109007,1782283109271548315,67,57.738169,False,3,1782283108940,67,2,1782283106096,2911,5,1782283114309,5302,6,1782283118006,8999,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,2,2775,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support
5,l2Book,1782283114309,1782283114572187100,5302,5300.638785,False,3,1782283108940,5369,4,1782283109007,5302,8,1782283119683,5374,6,1782283118006,3697,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,3,8077,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
6,trades,1782283118006,1782283118251388334,3697,3679.201234,False,5,1782283114309,3697,4,1782283109007,8999,8,1782283119683,1677,7,1782283118689,683,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,3,11774,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
7,trades,1782283118689,1782283119018258493,683,766.870159,False,5,1782283114309,4380,6,1782283118006,683,8,1782283119683,994,9,1782283121162,2473,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,3,12457,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
8,l2Book,1782283119683,1782283119966204350,994,947.945857,False,5,1782283114309,5374,7,1782283118689,994,12,1782283125107,5424,9,1782283121162,1479,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,4,13451,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
9,trades,1782283121162,1782283121347215039,1479,1381.010689,False,8,1782283119683,1479,7,1782283118689,2473,12,1782283125107,3945,10,1782283122585,1423,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,4,14930,real_bbo_history_touch_stability,pass,reset_supported,
10,trades,1782283122585,1782283122800245957,1423,1453.030918,False,8,1782283119683,2902,9,1782283121162,1423,12,1782283125107,2522,11,1782283124035,1450,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,4,16353,real_bbo_history_touch_stability,pass,reset_supported,
11,trades,1782283124035,1782283124287830096,1450,1487.584139,False,8,1782283119683,4352,10,1782283122585,1450,12,1782283125107,1072,13,1782283128066,4031,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,4,17803,real_bbo_history_touch_stability,pass,reset_supported,
12,l2Book,1782283125107,1782283125426949813,1072,1139.119717,False,8,1782283119683,5424,11,1782283124035,1072,14,1782283130417,5310,13,1782283128066,2959,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,5,18875,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
