family,event_sequence,source_channel,source_event_exchange_time_ms,latest_l2_age_ms_by_exchange_time,next_l2_delta_ms_by_exchange_time,skip_reason,freshness_source,fresh_touch_evidence_status,touch_stability_ms,top_reset_status,top_reset_reason,public_depletion_status,rolling_trade_count_last_3s,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,dynamic_size_btc,allowed,interpretation
depleted_top_plus_order_proxy,11,trades,1782283124035,4352,1072,,real_bbo_history_touch_stability,pass,17803,reset_supported,same_touch_top_qty_or_order_count_reduced,depleted_top_plus_order_proxy,11,0.00647,0.00664,0.00166,True,candidate family example
depleted_visible_top_proxy_only,9,trades,1782283121162,1479,3945,,real_bbo_history_touch_stability,pass,14930,reset_supported,same_touch_top_qty_or_order_count_reduced,depleted_visible_top_proxy_only,9,0.00102,0.00119,0.00029,True,candidate family example
fresh_touch_evidence_pass,3,l2Book,1782283108940,2708,5369,missing_same_side_strict_through_support,real_bbo_history_touch_stability,pass,2708,not_reset,history_present_no_reset,touched_quote_without_depletion,1,0,0.00063,0.00015,False,candidate family example
missing_recent_same_side_at_or_through_throughput,1,l2Book,1782283106232,,2708,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,bbo_history_too_sparse,not_depleted,0,0,0,0.0,False,dynamic size could not be supported by recent at-or-through throughput
missing_same_side_strict_through_support,1,l2Book,1782283106232,,2708,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,bbo_history_too_sparse,not_depleted,0,0,0,0.0,False,rolling same-side strict-through flow was not sufficient for this row
missing_touch_freshness_or_queue_reset_evidence,1,l2Book,1782283106232,,2708,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,bbo_history_too_sparse,not_depleted,0,0,0,0.0,False,"fresh-touch gate blocked before Binance freshness, fair-mid source, and edge gate"
not_depleted,1,l2Book,1782283106232,,2708,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,bbo_history_too_sparse,not_depleted,0,0,0,0.0,False,candidate family example
queue_reset_supported,5,l2Book,1782283114309,5369,5374,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,real_bbo_history_touch_stability,pass,8077,reset_supported,same_touch_top_qty_or_order_count_reduced,not_depleted,0,0,0,0.0,False,candidate family example
strict_trade_through_seen_but_visible_top_not_depleted,38,trades,1782283165025,2328,3103,outside_quality_a_b_queue_bands,real_bbo_history_touch_stability,pass,13037,not_reset,history_present_no_reset,strict_trade_through_seen_but_visible_top_not_depleted,7,0.01614,0.01631,0.002,False,"trade-through existed, but visible top plus order depletion was not proven"
synthetic_current_event_only,1,l2Book,1782283106232,,2708,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,bbo_history_too_sparse,not_depleted,0,0,0,0.0,False,candidate lacked accepted real BBO history at decision time
touched_quote_without_depletion,2,trades,1782283106096,-136,2844,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,block,,missing,bbo_history_too_sparse,touched_quote_without_depletion,3,0,0.01677,0.00419,False,candidate family example
