attempt,event_sequence,phase,source_event_exchange_time_ms,side,limit_px,flow_lookback_ms,trade_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,fill_support_touch_count,adverse_strict_through_count,neutral_or_opposite_flow_count,adverse_flow_ratio,min_pressure_qty_btc,pressure_ratio_threshold,status,reason
1,9,public_shadow_pre_submit_gate,1782283121162,buy,62836.0,1000,7,0.00102,0.00017,0.00017,0.00017,0.00102,False,0,1,6,0,6.0,0.01,2.0,pass,
1,10,public_shadow_pre_submit_gate,1782283122585,buy,62836.0,1000,1,0,0,0,0,0,False,0.00029,0,0,1,,0.01,2.0,pass,
1,11,public_shadow_pre_submit_gate,1782283124035,buy,62836.0,1000,3,0.00545,0,0,0,0.00545,False,0,0,3,0,inf,0.01,2.0,pass,
1,42,public_shadow_pre_submit_gate,1782283169975,buy,62825.0,1000,32,0.14767,0.0018,0.0018,0.0018,0.14767,False,0.00018,2,29,1,82.03888888888889,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,43,public_shadow_pre_submit_gate,1782283172390,buy,62825.0,1000,1,0.00427,0,0,0,0.00427,False,0,0,1,0,inf,0.01,2.0,pass,
1,157,public_shadow_pre_submit_gate,1782283314277,buy,62816.0,1000,14,0.0797,0.0027,0.0027,0.0027,0.0797,True,0.0049,2,11,1,29.51851851851852,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,158,public_shadow_pre_submit_gate,1782283315026,buy,62816.0,1000,15,0.09584,0.0027,0.0027,0.0027,0.09584,False,0,2,13,0,35.49629629629629,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,196,public_shadow_pre_submit_gate,1782283368030,buy,62820.0,1000,4,0.00062,0.00017,0.00017,0.00017,0.00062,False,0.0003,1,2,1,3.6470588235294117,0.01,2.0,pass,
1,197,public_shadow_pre_submit_gate,1782283369192,buy,62820.0,1000,1,0.0024,0,0,0,0.0024,False,0,0,1,0,inf,0.01,2.0,pass,
1,198,public_shadow_pre_submit_gate,1782283371024,buy,62820.0,1000,1,0,0,0,0,0,False,0.00077,0,0,1,,0.01,2.0,pass,
1,199,public_shadow_pre_submit_gate,1782283372050,buy,62820.0,1000,1,0.00052,0,0,0,0.00052,False,0,0,1,0,inf,0.01,2.0,pass,
1,200,public_shadow_pre_submit_gate,1782283372693,buy,62820.0,1000,4,0.00163,0,0,0,0.00163,False,0,0,4,0,inf,0.01,2.0,pass,
1,203,public_shadow_pre_submit_gate,1782283375043,buy,62815.0,1000,18,0.01596,0.00017,0.00017,0.00017,0.01596,False,0,1,17,0,93.88235294117646,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,204,public_shadow_pre_submit_gate,1782283377328,buy,62815.0,1000,2,0.00176,0,0,0,0.00176,False,0,0,2,0,inf,0.01,2.0,pass,
1,205,public_shadow_pre_submit_gate,1782283377433,buy,62815.0,1000,15,0.11321,0,0,0,0.11321,False,0,0,15,0,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,214,public_shadow_pre_submit_gate,1782283389981,buy,62797.0,1000,6,0.00301,0.00017,0.00017,0.00017,0.00301,False,0,1,5,0,17.705882352941178,0.01,2.0,pass,
1,215,public_shadow_pre_submit_gate,1782283390122,buy,62797.0,1000,8,0.00301,0.00017,0.00017,0.00017,0.00301,False,0.0547,1,5,2,17.705882352941178,0.01,2.0,pass,
1,216,public_shadow_pre_submit_gate,1782283390476,buy,62797.0,1000,9,0.00351,0.00017,0.00017,0.00017,0.00351,False,0.0547,1,6,2,20.647058823529413,0.01,2.0,pass,
1,217,public_shadow_pre_submit_gate,1782283391748,buy,62797.0,1000,1,0,0,0,0,0,False,0.00022,0,0,1,,0.01,2.0,pass,
1,218,public_shadow_pre_submit_gate,1782283394004,buy,62797.0,1000,2,0.00546,0,0,0,0.00546,False,0,0,2,0,inf,0.01,2.0,pass,
1,223,public_shadow_pre_submit_gate,1782283402008,buy,62793.0,1000,4,0.00036,0.00017,0.00017,0.00017,0.00036,False,0,1,3,0,2.1176470588235294,0.01,2.0,pass,
1,224,public_shadow_pre_submit_gate,1782283404487,buy,62793.0,1000,14,0,0,0,0,0,False,8.61186,0,0,14,,0.01,2.0,pass,
1,225,public_shadow_pre_submit_gate,1782283405024,buy,62793.0,1000,16,0.01614,0,0,0,0.01614,False,8.61186,0,2,14,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,365,public_shadow_pre_submit_gate,1782283504723,buy,62748.0,1000,1,0,0,0,0,0,False,0.01265,0,0,1,,0.01,2.0,pass,
1,366,public_shadow_pre_submit_gate,1782283505206,buy,62748.0,1000,5,0.00199,0,0,0,0.00199,False,0.01265,0,4,1,inf,0.01,2.0,pass,
1,367,public_shadow_pre_submit_gate,1782283506531,buy,62748.0,1000,3,0.00261,0,0,0,0.00261,False,0,0,3,0,inf,0.01,2.0,pass,
1,371,public_shadow_pre_submit_gate,1782283509071,buy,62732.0,1000,1,0,0,0,0,0,False,0.05067,0,0,1,,0.01,2.0,pass,
1,372,public_shadow_pre_submit_gate,1782283509378,buy,62732.0,1000,3,0,0.00231,0.00231,0.00231,0,False,0.05067,2,0,1,,0.01,2.0,pass,
1,373,public_shadow_pre_submit_gate,1782283510321,buy,62732.0,1000,4,0.001,0.00231,0.00231,0.00231,0.001,False,0,2,2,0,0.4329004329004329,0.01,2.0,pass,
1,375,public_shadow_pre_submit_gate,1782283513745,buy,62730.0,1000,49,3.73768,0.00587,0.00587,0.00587,3.73768,True,0,4,45,0,636.7427597955707,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,376,public_shadow_pre_submit_gate,1782283514022,buy,62730.0,1000,50,3.74314,0.00587,0.00587,0.00587,3.74314,True,0,4,46,0,637.6729131175468,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,377,public_shadow_pre_submit_gate,1782283514830,buy,62730.0,1000,2,0.01167,0,0,0,0.01167,False,0,0,2,0,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,378,public_shadow_pre_submit_gate,1782283514898,buy,62730.0,1000,3,0.01624,0,0,0,0.01624,False,0,0,3,0,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,379,public_shadow_pre_submit_gate,1782283515783,buy,62730.0,1000,3,0.01078,0,0,0,0.01078,False,0.00024,0,2,1,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,380,public_shadow_pre_submit_gate,1782283515916,buy,62730.0,1000,2,0,0,0,0,0,False,0.00032,0,0,2,,0.01,2.0,pass,
1,381,public_shadow_pre_submit_gate,1782283515983,buy,62730.0,1000,3,0,0,0,0,0,False,0.00119,0,0,3,,0.01,2.0,pass,
1,382,public_shadow_pre_submit_gate,1782283516116,buy,62730.0,1000,4,0.0007,0,0,0,0.0007,False,0.00119,0,1,3,inf,0.01,2.0,pass,
1,383,public_shadow_pre_submit_gate,1782283516938,buy,62730.0,1000,3,0.0007,0,0,0,0.0007,False,0.00111,0,1,2,inf,0.01,2.0,pass,
1,384,public_shadow_pre_submit_gate,1782283518022,buy,62730.0,1000,3,0.00094,0,0,0,0.00094,False,0.00054,0,1,2,inf,0.01,2.0,pass,
1,400,public_shadow_pre_submit_gate,1782283525077,buy,62721.0,1000,5,0.01614,0.00017,0.00017,0.00017,0.01614,False,0,1,4,0,94.94117647058823,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,401,public_shadow_pre_submit_gate,1782283525295,buy,62721.0,1000,6,0.01614,0.00017,0.00017,0.00017,0.01614,False,0.00024,1,4,1,94.94117647058823,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,402,public_shadow_pre_submit_gate,1782283525533,buy,62721.0,1000,9,0.67974,0,0,0,0.67974,False,0.00024,0,8,1,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,403,public_shadow_pre_submit_gate,1782283526066,buy,62721.0,1000,10,0.67991,0,0,0,0.67991,False,0.00024,0,9,1,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,404,public_shadow_pre_submit_gate,1782283526335,buy,62721.0,1000,6,0.66377,0,0,0,0.66377,False,0.00024,0,5,1,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,405,public_shadow_pre_submit_gate,1782283528133,buy,62721.0,1000,1,0,0,0,0,0,False,0.00024,0,0,1,,0.01,2.0,pass,
1,406,public_shadow_pre_submit_gate,1782283528801,buy,62721.0,1000,2,0,0,0,0,0,False,0.00062,0,0,2,,0.01,2.0,pass,
1,407,public_shadow_pre_submit_gate,1782283529004,buy,62721.0,1000,3,0,0,0,0,0,False,0.0008,0,0,3,,0.01,2.0,pass,
1,410,public_shadow_pre_submit_gate,1782283529959,buy,62717.0,1000,18,2.36755,0.00399,0.00399,0.00399,2.36755,True,0.00042,3,13,2,593.3709273182957,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,411,public_shadow_pre_submit_gate,1782283530127,buy,62717.0,1000,18,2.36755,0.00399,0.00399,0.00399,2.36755,True,0.00048,3,13,2,593.3709273182957,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,412,public_shadow_pre_submit_gate,1782283530925,buy,62717.0,1000,18,2.36755,0.00399,0.00399,0.00399,2.36755,False,0.00048,3,13,2,593.3709273182957,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,413,public_shadow_pre_submit_gate,1782283531398,buy,62717.0,1000,13,1.47728,0,0,0,1.47728,False,0.00024,0,12,1,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,414,public_shadow_pre_submit_gate,1782283531567,buy,62717.0,1000,17,1.47728,0,0,0,1.47728,False,0.00098,0,12,5,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,415,public_shadow_pre_submit_gate,1782283531664,buy,62717.0,1000,18,1.47728,0.00001,0.00001,0.00001,1.47728,False,0.00098,1,12,5,147728.0,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,416,public_shadow_pre_submit_gate,1782283532481,buy,62717.0,1000,6,0,0.00001,0.00001,0.00001,0,False,0.00098,1,0,5,,0.01,2.0,pass,
1,417,public_shadow_pre_submit_gate,1782283532548,buy,62717.0,1000,7,0,0.04185,0.04185,0.04185,0,False,0.00098,2,0,5,,0.01,2.0,pass,
1,418,public_shadow_pre_submit_gate,1782283532950,buy,62717.0,1000,3,0,0.04184,0.04184,0.04184,0,False,0.00111,1,0,2,,0.01,2.0,pass,
1,419,public_shadow_pre_submit_gate,1782283533373,buy,62717.0,1000,4,0,0.0889,0.0889,0.0889,0,False,0.00111,2,0,2,,0.01,2.0,pass,
1,420,public_shadow_pre_submit_gate,1782283534176,buy,62717.0,1000,2,0,0.04706,0.04706,0.04706,0,False,0.00024,1,0,1,,0.01,2.0,pass,
1,421,public_shadow_pre_submit_gate,1782283534381,buy,62717.0,1000,2,0,0.01643,0.01643,0.01643,0,False,0.00024,1,0,1,,0.01,2.0,pass,
1,479,public_shadow_pre_submit_gate,1782283578371,buy,62737.0,1000,13,0.01123,0.00124,0.00124,0.00124,0.01123,False,0.0003,2,10,1,9.056451612903226,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,480,public_shadow_pre_submit_gate,1782283578436,buy,62737.0,1000,14,0.0114,0.00124,0.00124,0.00124,0.0114,False,0.0003,2,11,1,9.193548387096774,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,481,public_shadow_pre_submit_gate,1782283578708,buy,62737.0,1000,18,0.01488,0.00124,0.00124,0.00124,0.01488,False,0.0003,2,15,1,12.0,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
