event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope,shadow_action,shadow_reason,fair_mid_source_status,fair_mid_source_reason,edge_gate_status,edge_gate_reason,fair_mid_px,edge_ticks,binance_source_age_ms,order_endpoint_called,private_endpoint_called,credential_read
1,l2Book,1782283106232,1782283106958865637,0.726959,buy,62836,62836,62837,1,0.005,7.60324,34,1520.648,0,0,0,0,7.60824,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,7.60324,,,34,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
2,trades,1782283106096,1782283106959899105,0.864008,buy,62836,62836,62837,1,0.005,7.60324,34,1520.648,3,0.01677,0,0.01677,7.60824,0.00220418914229835020977256238,touched_quote_without_depletion,,0.00419,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,1,0,-136,1,bbo_history_too_sparse,synthetic_current_event_only,,,,7.60324,,,34,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_after_candidate_visible_by_local_receive,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
3,l2Book,1782283108940,1782283109213810146,0.27395,buy,62836,62836,62837,1,0.005,8.4346,37,1686.92,1,0.00063,0,0.00063,8.4396,0.0000746480875870894355182710081,touched_quote_without_depletion,,0.00015,False,missing_same_side_strict_through_support,2,2708,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,2708,1782283106232,7.60324,8.4346,0.83136,34,37,3,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
4,trades,1782283109007,1782283109271548315,0.264592,buy,62836,62836,62837,1,0.005,8.4346,37,1686.92,2,0.00063,0,0.00063,8.4396,0.0000746480875870894355182710081,touched_quote_without_depletion,,0.00015,False,missing_same_side_strict_through_support,2,2708,67,2,same_touch_stable_enough,real_bbo_history_touch_stability,2775,1782283106232,7.60324,8.4346,0.83136,34,37,3,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
5,l2Book,1782283114309,1782283114572187100,0.263303,buy,62836,62836,62837,1,0.005,7.87367,22,1574.734,0,0,0,0,7.87867,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,3,8077,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,8077,1782283106232,8.4346,7.87367,-0.56093,37,22,-15,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
6,trades,1782283118006,1782283118251388334,0.24551,buy,62836,62836,62837,1,0.005,7.87367,22,1574.734,1,0,0,0,7.87867,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,3,8077,3697,3,same_touch_stable_enough,real_bbo_history_touch_stability,11774,1782283106232,8.4346,7.87367,-0.56093,37,22,-15,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
7,trades,1782283118689,1782283119018258493,0.329357,buy,62836,62836,62837,1,0.005,7.87367,22,1574.734,3,0,0,0,7.87867,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,3,8077,4380,3,same_touch_stable_enough,real_bbo_history_touch_stability,12457,1782283106232,8.4346,7.87367,-0.56093,37,22,-15,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
8,l2Book,1782283119683,1782283119966204350,0.283273,buy,62836,62836,62837,1,0.005,0.00017,1,0.034,3,0,0,0,0.00517,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,4,13451,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,13451,1782283106232,8.4346,0.00017,-8.43443,37,1,-36,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
9,trades,1782283121162,1782283121347215039,0.185331,buy,62836,62836,62837,1,0.005,0.00017,1,0.034,9,0.00017,0.00102,0.00119,0.00517,0.2301740812379110251450676983,depleted_visible_top_proxy_only,quality_a,0.00029,True,,4,13451,1479,4,same_touch_stable_enough,real_bbo_history_touch_stability,14930,1782283106232,8.4346,0.00017,-8.43443,37,1,-36,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,touch_stability_below_minimum,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
10,trades,1782283122585,1782283122800245957,0.215358,buy,62836,62836,62837,1,0.005,0.00017,1,0.034,8,0.00017,0.00102,0.00119,0.00517,0.2301740812379110251450676983,depleted_visible_top_proxy_only,quality_a,0.00029,True,,4,13451,2902,4,same_touch_stable_enough,real_bbo_history_touch_stability,16353,1782283106232,8.4346,0.00017,-8.43443,37,1,-36,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,touch_stability_below_minimum,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
