event_sequence,source_channel,source_event_exchange_time_ms,fresh_touch_allowed,anti_drift_status,anti_drift_reason,fair_mid_source_status,fair_mid_source_reason,edge_gate_status,edge_gate_reason,shadow_action,shadow_reason,private_endpoint_called,order_endpoint_called,credential_read
1,l2Book,1782283106232,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,False,False
2,trades,1782283106096,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,False,False
3,l2Book,1782283108940,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
4,trades,1782283109007,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
5,l2Book,1782283114309,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
6,trades,1782283118006,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
7,trades,1782283118689,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
8,l2Book,1782283119683,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
9,trades,1782283121162,True,block,touch_stability_below_minimum,block,fresh_touch_not_allowed,block,edge_signal_missing,block,touch_stability_below_minimum,False,False,False
10,trades,1782283122585,True,block,touch_stability_below_minimum,block,fresh_touch_not_allowed,block,edge_signal_missing,block,touch_stability_below_minimum,False,False,False
11,trades,1782283124035,True,block,touch_stability_below_minimum,block,fresh_touch_not_allowed,block,edge_signal_missing,block,touch_stability_below_minimum,False,False,False
12,l2Book,1782283125107,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,False,False
13,trades,1782283128066,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
14,l2Book,1782283130417,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
15,trades,1782283131036,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
16,trades,1782283132060,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
17,trades,1782283135002,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
18,l2Book,1782283135829,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
19,trades,1782283139002,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
20,l2Book,1782283141191,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
21,trades,1782283145927,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
22,l2Book,1782283146614,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
23,trades,1782283148037,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
24,trades,1782283149456,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
25,trades,1782283151151,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
26,l2Book,1782283151988,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,False,False
27,trades,1782283153675,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
28,trades,1782283153731,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
29,trades,1782283154003,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
30,l2Book,1782283157394,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
31,trades,1782283158000,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
32,trades,1782283161001,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
33,trades,1782283161348,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
34,trades,1782283161886,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
35,trades,1782283162020,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
36,l2Book,1782283162697,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
37,trades,1782283164888,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
38,trades,1782283165025,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,outside_quality_a_b_queue_bands,False,False,False
39,trades,1782283166505,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,outside_quality_a_b_queue_bands,False,False,False
40,l2Book,1782283168128,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,False,False
41,trades,1782283169017,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,False,False,False
42,trades,1782283169975,True,block,touch_stability_below_minimum,block,fresh_touch_not_allowed,block,edge_signal_missing,block,touch_stability_below_minimum,False,False,False
43,trades,1782283172390,True,block,touch_stability_below_minimum,block,fresh_touch_not_allowed,block,edge_signal_missing,block,touch_stability_below_minimum,False,False,False
44,l2Book,1782283173546,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,False,False
45,trades,1782283176140,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
46,trades,1782283177145,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
47,trades,1782283178028,False,not_evaluated,,block,fresh_touch_not_allowed,block,edge_signal_missing,block,missing_same_side_strict_through_support,False,False,False
