sample_set_id,threshold_ticks,persistence_count,decision_rows_evaluated,eligible_decisions,eligible_buy,eligible_sell,no_signal,reject_missing_basis,reject_persistence,reject_quality,reject_stale_or_data_gap,reject_missing_book,reject_missing_future_label
canonical_7,50,1,23353,12824,1843,10981,10522,0,0,0,7,0,0
canonical_7,50,2,23353,11094,1256,9838,10522,0,1731,0,6,0,0
canonical_7,50,3,23353,9747,907,8840,10522,0,3078,0,6,0,0
canonical_7,75,1,23353,8750,993,7757,14596,0,0,0,7,0,0
canonical_7,75,2,23353,7238,581,6657,14596,0,1513,0,6,0,0
canonical_7,75,3,23353,6129,369,5760,14596,0,2622,0,6,0,0
canonical_7,100,1,23353,6151,577,5574,17195,0,0,0,7,0,0
canonical_7,100,2,23353,4855,290,4565,17195,0,1298,0,5,0,0
canonical_7,100,3,23353,3965,177,3788,17195,0,2188,0,5,0,0
0617T005_8_input,50,1,26948,13209,1843,11366,10613,0,0,0,3126,0,0
0617T005_8_input,50,2,26948,11470,1256,10214,10613,0,1777,0,3088,0,0
0617T005_8_input,50,3,26948,10117,907,9210,10613,0,3163,0,3055,0,0
0617T005_8_input,75,1,26948,9126,993,8133,14787,0,0,0,3035,0,0
0617T005_8_input,75,2,26948,7604,581,7023,14787,0,1589,0,2968,0,0
0617T005_8_input,75,3,26948,6484,369,6115,14787,0,2766,0,2911,0,0
0617T005_8_input,100,1,26948,6511,577,5934,17557,0,0,0,2880,0,0
0617T005_8_input,100,2,26948,5199,290,4909,17557,0,1398,0,2794,0,0
0617T005_8_input,100,3,26948,4291,177,4114,17557,0,2384,0,2716,0,0
