sample_set_id,sample_id,quote_side,threshold_ticks,persistence_count,horizon_ms,intent_count,positive_intent_count,positive_intent_rate,total_optimistic_mid_pnl_ticks,mean_optimistic_mid_pnl_ticks,median_optimistic_mid_pnl_ticks,min_optimistic_mid_pnl_ticks,max_optimistic_mid_pnl_ticks,total_optimistic_mid_pnl_usdc,mean_optimistic_mid_pnl_usdc,assumption_set
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,1,100,385,368,0.955844,2230,5.792208,5,-115,225,2.23,0.00579221,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,1,250,385,368,0.955844,2230,5.792208,5,-115,225,2.23,0.00579221,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,1,500,385,368,0.955844,2230,5.792208,5,-115,225,2.23,0.00579221,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,1,1000,385,349,0.906494,3050,7.922078,5,-135,225,3.05,0.00792208,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,1,5000,383,254,0.663185,4630,12.088773,5,-285,795,4.63,0.01208877,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,1,10000,383,222,0.579634,5485,14.321149,5,-485,1115,5.485,0.01432115,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,2,100,376,360,0.957447,2255,5.99734,5,-115,225,2.255,0.00599734,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,2,250,376,360,0.957447,2255,5.99734,5,-115,225,2.255,0.00599734,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,2,500,376,360,0.957447,2255,5.99734,5,-115,225,2.255,0.00599734,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,2,1000,376,344,0.914894,3215,8.550532,5,-135,225,3.215,0.00855053,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,2,5000,374,253,0.676471,5205,13.917112,5,-285,795,5.205,0.01391711,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,2,10000,374,219,0.585561,6570,17.566845,5,-485,1115,6.57,0.01756684,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,3,100,370,354,0.956757,2225,6.013514,5,-115,225,2.225,0.00601351,unconstrained_all_intents
