sample_set_id,sample_id,quote_side,threshold_ticks,persistence_count,oracle_label,intent_count,positive_intent_count,positive_intent_rate,total_optimistic_mid_pnl_ticks,mean_optimistic_mid_pnl_ticks,median_optimistic_mid_pnl_ticks,min_optimistic_mid_pnl_ticks,max_optimistic_mid_pnl_ticks,total_optimistic_mid_pnl_usdc,mean_optimistic_mid_pnl_usdc,best_horizon_ms_counts,assumption_set
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,1,non_tradeable_oracle_upper_bound,385,371,0.963636,26860,69.766234,5,-85,1115,26.86,0.06976623,100:201|1000:16|5000:69|10000:99,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,2,non_tradeable_oracle_upper_bound,376,363,0.965426,26785,71.236702,5,-45,1115,26.785,0.0712367,100:194|1000:16|5000:68|10000:98,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,3,non_tradeable_oracle_upper_bound,370,357,0.964865,26485,71.581081,5,-45,1115,26.485,0.07158108,100:190|1000:16|5000:67|10000:97,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,1,non_tradeable_oracle_upper_bound,376,362,0.962766,26475,70.412234,5,-85,1115,26.475,0.07041223,100:195|1000:16|5000:69|10000:96,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,2,non_tradeable_oracle_upper_bound,366,353,0.964481,26355,72.008197,5,-45,1115,26.355,0.0720082,100:188|1000:16|5000:67|10000:95,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,3,non_tradeable_oracle_upper_bound,355,342,0.96338,25550,71.971831,5,-45,1115,25.55,0.07197183,100:182|1000:16|5000:65|10000:92,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,1,non_tradeable_oracle_upper_bound,360,350,0.972222,26305,73.069444,5,-85,1115,26.305,0.07306944,100:183|1000:16|5000:69|10000:92,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,2,non_tradeable_oracle_upper_bound,344,336,0.976744,25555,74.287791,10,-35,1115,25.555,0.07428779,100:173|1000:16|5000:65|10000:90,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,3,non_tradeable_oracle_upper_bound,326,318,0.97546,23385,71.733129,15,-35,1065,23.385,0.07173313,100:162|1000:16|5000:62|10000:86,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,1,non_tradeable_oracle_upper_bound,571,571,1,86570,151.611208,115,5,895,86.57,0.15161121,100:149|250:3|500:7|1000:38|5000:156|10000:218,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,2,non_tradeable_oracle_upper_bound,466,466,1,69765,149.7103,115,5,885,69.765,0.1497103,100:131|500:4|1000:29|5000:119|10000:183,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,3,non_tradeable_oracle_upper_bound,383,383,1,56200,146.736292,105,5,825,56.2,0.14673629,100:113|500:2|1000:23|5000:93|10000:152,unconstrained_all_intents
