sample_set_id,pricing_signal_path,pricing_row_count,sample_ids,sample_id_count,membership_note
canonical_7,/home/molly/project/hftbacktest/local_live_analysis/event_horizon_comparison_0604T002/binance_led_hyperliquid_pricing_signal_xemm_0603_quiet_a_event/pricing_signal_rows.csv,19956,cross_exchange_public_sample_xemm_0603_quiet_a_event,1,Canonical event-mode samples from 0609T008 source_artifact_manifest.csv; selected by the user as the formal sample-set policy.
canonical_7,/home/molly/project/hftbacktest/local_live_analysis/event_horizon_comparison_0604T002/binance_led_hyperliquid_pricing_signal_xemm_0603_quiet_b_event/pricing_signal_rows.csv,19945,cross_exchange_public_sample_xemm_0603_quiet_b_event,1,Canonical event-mode samples from 0609T008 source_artifact_manifest.csv; selected by the user as the formal sample-set policy.
canonical_7,/home/molly/project/hftbacktest/local_live_analysis/event_horizon_comparison_0604T002/binance_led_hyperliquid_pricing_signal_xemm_0603_quiet_c_event/pricing_signal_rows.csv,19969,cross_exchange_public_sample_xemm_0603_quiet_c_event,1,Canonical event-mode samples from 0609T008 source_artifact_manifest.csv; selected by the user as the formal sample-set policy.
canonical_7,/home/molly/project/hftbacktest/local_live_analysis/basis_positive_targeted_public_collection_0609T002/binance_led_hyperliquid_pricing_signal_xemm_0609_normal_a_event/pricing_signal_rows.csv,20019,xemm_0609_normal_a_event,1,Canonical event-mode samples from 0609T008 source_artifact_manifest.csv; selected by the user as the formal sample-set policy.
canonical_7,/home/molly/project/hftbacktest/local_live_analysis/basis_positive_targeted_public_collection_0609T002/binance_led_hyperliquid_pricing_signal_xemm_0609_normal_b_event/pricing_signal_rows.csv,20010,xemm_0609_normal_b_event,1,Canonical event-mode samples from 0609T008 source_artifact_manifest.csv; selected by the user as the formal sample-set policy.
canonical_7,/home/molly/project/hftbacktest/local_live_analysis/basis_positive_targeted_public_collection_0609T002/binance_led_hyperliquid_pricing_signal_xemm_0609_active_a_event/pricing_signal_rows.csv,19998,xemm_0609_active_a_event,1,Canonical event-mode samples from 0609T008 source_artifact_manifest.csv; selected by the user as the formal sample-set policy.
canonical_7,/home/molly/project/hftbacktest/local_live_analysis/basis_positive_targeted_public_collection_0609T002/binance_led_hyperliquid_pricing_signal_xemm_0609_active_b_event/pricing_signal_rows.csv,20017,xemm_0609_active_b_event,1,Canonical event-mode samples from 0609T008 source_artifact_manifest.csv; selected by the user as the formal sample-set policy.
0617T005_8_input,/home/molly/project/hftbacktest/local_live_analysis/binance_led_hyperliquid_pricing_signal_0601T005/pricing_signal_rows.csv,21541,cross_exchange_public_sample_0602T001,1,All pricing_signal_rows inputs consumed by accepted 0617T005 replay.
0617T005_8_input,/home/molly/project/hftbacktest/local_live_analysis/event_horizon_comparison_0604T002/binance_led_hyperliquid_pricing_signal_xemm_0603_quiet_a_event/pricing_signal_rows.csv,19956,cross_exchange_public_sample_xemm_0603_quiet_a_event,1,All pricing_signal_rows inputs consumed by accepted 0617T005 replay.
0617T005_8_input,/home/molly/project/hftbacktest/local_live_analysis/event_horizon_comparison_0604T002/binance_led_hyperliquid_pricing_signal_xemm_0603_quiet_b_event/pricing_signal_rows.csv,19945,cross_exchange_public_sample_xemm_0603_quiet_b_event,1,All pricing_signal_rows inputs consumed by accepted 0617T005 replay.
0617T005_8_input,/home/molly/project/hftbacktest/local_live_analysis/event_horizon_comparison_0604T002/binance_led_hyperliquid_pricing_signal_xemm_0603_quiet_c_event/pricing_signal_rows.csv,19969,cross_exchange_public_sample_xemm_0603_quiet_c_event,1,All pricing_signal_rows inputs consumed by accepted 0617T005 replay.
0617T005_8_input,/home/molly/project/hftbacktest/local_live_analysis/basis_positive_targeted_public_collection_0609T002/binance_led_hyperliquid_pricing_signal_xemm_0609_normal_a_event/pricing_signal_rows.csv,20019,xemm_0609_normal_a_event,1,All pricing_signal_rows inputs consumed by accepted 0617T005 replay.
0617T005_8_input,/home/molly/project/hftbacktest/local_live_analysis/basis_positive_targeted_public_collection_0609T002/binance_led_hyperliquid_pricing_signal_xemm_0609_normal_b_event/pricing_signal_rows.csv,20010,xemm_0609_normal_b_event,1,All pricing_signal_rows inputs consumed by accepted 0617T005 replay.
0617T005_8_input,/home/molly/project/hftbacktest/local_live_analysis/basis_positive_targeted_public_collection_0609T002/binance_led_hyperliquid_pricing_signal_xemm_0609_active_a_event/pricing_signal_rows.csv,19998,xemm_0609_active_a_event,1,All pricing_signal_rows inputs consumed by accepted 0617T005 replay.
0617T005_8_input,/home/molly/project/hftbacktest/local_live_analysis/basis_positive_targeted_public_collection_0609T002/binance_led_hyperliquid_pricing_signal_xemm_0609_active_b_event/pricing_signal_rows.csv,20017,xemm_0609_active_b_event,1,All pricing_signal_rows inputs consumed by accepted 0617T005 replay.
