sample_id,threshold_ticks,persistence_count,intent_buy,intent_sell
cross_exchange_public_sample_0602T001,10,1,1,5
cross_exchange_public_sample_0602T001,10,2,1,5
cross_exchange_public_sample_0602T001,10,3,0,4
cross_exchange_public_sample_0602T001,20,1,0,4
cross_exchange_public_sample_0602T001,20,2,0,4
cross_exchange_public_sample_0602T001,20,3,0,4
cross_exchange_public_sample_0602T001,30,1,0,4
cross_exchange_public_sample_0602T001,30,2,0,4
cross_exchange_public_sample_0602T001,30,3,0,4
cross_exchange_public_sample_0602T001,40,1,0,4
cross_exchange_public_sample_0602T001,40,2,0,4
cross_exchange_public_sample_0602T001,40,3,0,4
cross_exchange_public_sample_0602T001,50,1,0,4
cross_exchange_public_sample_0602T001,50,2,0,4
cross_exchange_public_sample_0602T001,50,3,0,4
cross_exchange_public_sample_0602T001,75,1,0,4
cross_exchange_public_sample_0602T001,75,2,0,4
cross_exchange_public_sample_0602T001,75,3,0,4
cross_exchange_public_sample_0602T001,100,1,0,4
cross_exchange_public_sample_0602T001,100,2,0,4
cross_exchange_public_sample_0602T001,100,3,0,4
