threshold_ticks,persistence_count,rows_evaluated,intent_buy,intent_sell,no_signal,reject_persistence,reject_quality,reject_stale_or_data_gap,reject_missing_book,reject_crossing_post_only,cap_reduce_side_only,quote_distance_ticks_min,quote_distance_ticks_mean,quote_distance_ticks_max
10,1,3595,1,5,22,0,0,3181,0,0,386,5,5.81632653,180
10,2,3595,1,5,22,30,0,3155,0,0,382,5,5.77319588,180
10,3,3595,0,4,22,53,0,3135,0,0,381,5,5.77922078,180
20,1,3595,0,4,29,0,0,3175,0,0,387,5,5.81841432,180
20,2,3595,0,4,29,30,0,3149,0,0,383,5,5.7751938,180
20,3,3595,0,4,29,52,0,3129,0,0,381,5,5.77922078,180
30,1,3595,0,4,46,0,0,3158,0,0,387,5,5.81841432,180
30,2,3595,0,4,46,36,0,3128,0,0,381,5,5.76623377,180
30,3,3595,0,4,46,66,0,3101,0,0,378,5,5.77225131,180
40,1,3595,0,4,69,0,0,3137,0,0,385,5,5.82262211,180
40,2,3595,0,4,69,38,0,3106,0,0,378,5,5.77225131,180
40,3,3595,0,4,69,71,0,3076,0,0,375,5,5.77836412,180
50,1,3595,0,4,91,0,0,3119,0,0,381,5,5.83116883,180
50,2,3595,0,4,91,46,0,3082,0,0,372,5,5.78457447,180
50,3,3595,0,4,91,85,0,3049,0,0,366,5,5.7972973,180
75,1,3595,0,4,191,0,0,3028,0,0,372,5,5.79787234,180
75,2,3595,0,4,191,76,0,2962,0,0,362,5,5.80601093,180
75,3,3595,0,4,191,144,0,2905,0,0,351,5,5.83098592,180
100,1,3595,0,4,362,0,0,2873,0,0,356,5,5.73611111,180
100,2,3595,0,4,362,100,0,2789,0,0,340,5,5.66860465,180
100,3,3595,0,4,362,196,0,2711,0,0,322,5,5.70552147,180
