bucket_start_exchange_time_ms,bucket_end_exchange_time_ms,book_observation_count,trade_observation_count,book_state_dedup_count,trade_event_dedup_count,mid_px,mid_return,realized_volatility,return_count,spread_ticks,bid_depth_btc,ask_depth_btc,total_depth_btc,liquidity_depth_btc,trade_volume_btc,buy_aggressor_volume_btc,sell_aggressor_volume_btc,trade_imbalance,toxicity,buy_adverse_volume_btc,sell_adverse_volume_btc,buy_sweep_depth_penetration,sell_sweep_depth_penetration,buy_trade_count,sell_trade_count,accepted_event_count,inference_scope
1784713659000,1784713660000,0,1,0,0,,,,0,,,,,,0.00017,0.00017,0,1,1,0,0.00017,0,0,1,0,1,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713660000,1784713661000,0,3,0,0,,,,0,,,,,,0.1122,0.10665,0.00555,0.90106952,0.90106952,0.00555,0.10665,0,0,2,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713661000,1784713662000,0,5,0,0,,,,0,,,,,,2.00555,0.00555,2,-0.99446536,0.99446536,2,0.00555,0,0,1,4,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713663000,1784713664000,0,8,0,0,,,,0,,,,,,0.12744,0.12167,0.00577,0.90944758,0.90944758,0.00577,0.12167,0,0,7,1,8,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713664000,1784713665000,0,5,0,0,,,,0,,,,,,0.02649,0.0061,0.02039,-0.53944885,0.53944885,0.02039,0.0061,0,0,3,2,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713666000,1784713667000,0,4,0,0,,,,0,,,,,,0.06938,0.06938,0,1,1,0,0.06938,0,0,4,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713667000,1784713668000,0,1,0,0,,,,0,,,,,,0.00417,0,0.00417,-1,1,0.00417,0,0,0,0,1,1,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713668000,1784713669000,1,1,0,0,65846.5,,,0,1,5.60391,4.52804,10.13195,4.52804,0.00052,0,0.00052,-1,1,0.00052,0,0,9.279e-05,0,1,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713669000,1784713670000,2,2,0,0,65846.5,0,0,1,1,5.60391,0.7846,6.38851,0.7846,0.00345,0.00345,0,1,1,0,0.00345,0,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713670000,1784713671000,1,2,0,0,65846.5,0,0,2,1,5.60646,0.78352,6.38998,0.78352,0.00362,0.00017,0.00345,-0.90607735,0.90607735,0.00345,0.00017,0,0,1,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
