exposure_id,side,quote_px,reference_mid_px,distance_ticks,start_exchange_time_ms,end_exchange_time_ms,duration_seconds,arrival_count,arrival_volume_btc,arrival_rate_per_second,pre_trade_side_depth_btc,max_sweep_depth_penetration,arrival_evidence_source,resting_confirmed,source,inference_scope
0722T066:0:buy:0.5,buy,65846,65846.5,0.5,1784713670000,1784713675000,5,2,0.00814,0.4,5.60391,0.00083692,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:0:buy:2.5,buy,65844,65846.5,2.5,1784713670000,1784713675000,5,0,0,0,5.60391,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:0:buy:5.5,buy,65841,65846.5,5.5,1784713670000,1784713675000,5,0,0,0,5.60391,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:0:buy:10.5,buy,65836,65846.5,10.5,1784713670000,1784713675000,5,0,0,0,5.60391,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:0:sell:0.5,sell,65847,65846.5,0.5,1784713670000,1784713675000,5,2,0.00486,0.4,0.7846,0.00597757,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:0:sell:2.5,sell,65849,65846.5,2.5,1784713670000,1784713675000,5,0,0,0,0.7846,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:0:sell:5.5,sell,65852,65846.5,5.5,1784713670000,1784713675000,5,0,0,0,0.7846,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:0:sell:10.5,sell,65857,65846.5,10.5,1784713670000,1784713675000,5,0,0,0,0.7846,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:1:buy:0.5,buy,65846,65846.5,0.5,1784713675000,1784713680000,5,4,0.03508,0.8,5.69235,0.00449902,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:1:buy:2.5,buy,65844,65846.5,2.5,1784713675000,1784713680000,5,0,0,0,5.69235,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
