event_kind,event_time_ms,local_receive_time_ms,bid_px,ask_px,bid_depth_btc,ask_depth_btc,trade_px,trade_size_btc,aggressor_side,trade_id
book,1784713668932,1784713669570,65846.0,65847.0,5.60391,4.52804,,,,
trade,1784713659066,1784713669582,,,,,65847.0,0.00017,buy,867825406002716
trade,1784713660008,1784713669582,,,,,65847.0,0.10511,buy,470744660664153
trade,1784713660008,1784713669582,,,,,65846.0,0.00555,sell,1120512346913927
trade,1784713660410,1784713669582,,,,,65847.0,0.00154,buy,91428558194800
trade,1784713661279,1784713669582,,,,,65847.0,0.00555,buy,546269395552093
trade,1784713661482,1784713669582,,,,,65846.0,0.53707,sell,825067792214372
trade,1784713661482,1784713669582,,,,,65846.0,0.13328,sell,813689448618846
trade,1784713661482,1784713669582,,,,,65846.0,0.15183,sell,869790226673633
trade,1784713661482,1784713669582,,,,,65846.0,1.17782,sell,49210979676238
trade,1784713663020,1784713669582,,,,,65847.0,0.00017,buy,502365259207915
trade,1784713663155,1784713669582,,,,,65846.0,0.00577,sell,480367176754184
trade,1784713663696,1784713669582,,,,,65847.0,0.07002,buy,154826151752222
trade,1784713663696,1784713669582,,,,,65847.0,0.01901,buy,935395521068582
trade,1784713663696,1784713669582,,,,,65847.0,0.00182,buy,354956646901870
trade,1784713663696,1784713669582,,,,,65847.0,0.00017,buy,776526391735800
trade,1784713663696,1784713669582,,,,,65847.0,0.01518,buy,639611715934226
trade,1784713663696,1784713669582,,,,,65847.0,0.0153,buy,425802252784565
trade,1784713664100,1784713669582,,,,,65847.0,0.00017,buy,868382878118620
trade,1784713664100,1784713669582,,,,,65846.0,0.00046,sell,499481727447906
trade,1784713664166,1784713669582,,,,,65846.0,0.01993,sell,1035531812588544
trade,1784713664299,1784713669582,,,,,65847.0,0.00577,buy,668629179206918
trade,1784713664700,1784713669582,,,,,65847.0,0.00016,buy,335281310937770
trade,1784713666249,1784713669582,,,,,65847.0,0.00417,buy,922506788879682
