snapshot_phase,scope,role,session_id,segment_id,root,path,relative_path,bytes,sha256,authoritative_manifest_sha256
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/consumption_ledgers/aug07_access_ledger.json,consumption_ledgers/aug07_access_ledger.json,19276,40deed8ba0756e85697ef81e107a211ab2f4fabca638c1b42ae14f8314f7426d,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/channel_inventory.csv,data_admission/channel_inventory.csv,2937,41a80972f0bf6407128bfcc89bc942a03e27aaeefc40b1f652d89dbd14eda333,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/hyperliquid_feed_cadence.csv,data_admission/hyperliquid_feed_cadence.csv,7311,2e4060036155f80e6c1cebddd81143edce3c3b534dbc7f5c129d6c3f4ed81c0a,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/input_manifest_bindings.csv,data_admission/input_manifest_bindings.csv,4098,c08c53f430398e8a68d6e2c8a83d32bd2a2fa889bc9a0fb5bc1c199b70fa59fc,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/session_topology.csv,data_admission/session_topology.csv,5657,b00f4eae599bba63099d3b8c629324c761ebdacd2481ac56ebd119b182016827,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/unavailable_fields.csv,data_admission/unavailable_fields.csv,2460,8ba7c2061ac587adbe5fe79ecf5adef120869dd20894f675bc8d16f8232c03e5,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/underlying_regime_coverage.csv,data_admission/underlying_regime_coverage.csv,1382,ec33eeb2a1e7354d2efdbb4c08d683da2eb0dc1b6c8fc369935f8d2de06f0319,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/frozen_research_contract.json,frozen_research_contract.json,8668,8657c6a81cb541c8df1c7696f86b3b4cbfb0c2e01d0bb99a98bbecd158041a6e,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/input_inventory.csv,input_inventory.csv,273052,349fb8528437ad2beed538368173c0666f0e0be519a729a74c4b26727acfab42,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
before,accepted_dependency,stage1,,,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1/research_manifest.json,research_manifest.json,3300,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2
