dependence_cluster_id,anchor_count
2026-07-30_1b18a29f3daf:59512558,1
2026-07-30_1b18a29f3daf:59512562,1
2026-07-30_1b18a29f3daf:59512567,1
2026-07-30_1b18a29f3daf:59512568,1
2026-07-30_1b18a29f3daf:59512569,1
2026-07-30_1b18a29f3daf:59512571,1
2026-07-30_1b18a29f3daf:59512578,1
2026-07-30_1b18a29f3daf:59512580,1
2026-07-30_1b18a29f3daf:59512584,1
2026-07-30_1b18a29f3daf:59512594,1
2026-07-30_1b18a29f3daf:59512595,2
2026-07-30_2cc63928e27f:59512327,1
2026-07-30_2cc63928e27f:59512330,1
2026-07-30_2cc63928e27f:59512336,1
2026-07-30_2cc63928e27f:59512348,1
2026-07-30_2cc63928e27f:59512352,1
2026-07-30_2cc63928e27f:59512369,1
2026-07-30_47309d2a7046:59512739,1
2026-07-30_47309d2a7046:59512745,2
2026-07-30_47309d2a7046:59512751,1
2026-07-30_47309d2a7046:59512757,1
2026-07-30_47309d2a7046:59512765,1
2026-07-30_47309d2a7046:59512774,1
2026-07-30_b19ed82d662d:59512491,1
2026-07-30_b19ed82d662d:59512499,1
2026-07-30_b19ed82d662d:59512503,1
2026-07-30_b19ed82d662d:59512534,1
2026-07-30_b19ed82d662d:59512545,1
2026-07-30_bd0fb3d8fa82:59512374,1
2026-07-30_bd0fb3d8fa82:59512390,1
2026-07-30_bd0fb3d8fa82:59512394,1
2026-07-30_bd0fb3d8fa82:59512420,1
2026-07-30_bd0fb3d8fa82:59512428,1
2026-07-30_c655ea10171f:59512616,1
2026-07-30_c655ea10171f:59512623,1
2026-07-30_c655ea10171f:59512627,1
2026-07-30_c655ea10171f:59512639,1
2026-07-30_c655ea10171f:59512640,1
2026-07-30_d88a85361fb1:59512435,1
2026-07-30_d88a85361fb1:59512436,1
2026-07-30_d88a85361fb1:59512451,1
2026-07-30_d88a85361fb1:59512452,1
2026-07-30_d88a85361fb1:59512456,1
2026-07-30_d88a85361fb1:59512459,1
2026-07-30_f91aa7f4acf1:59512686,1
2026-07-30_f91aa7f4acf1:59512696,1
2026-07-30_f91aa7f4acf1:59512716,1
2026-08-03_098332acc16a:59523928,1
2026-08-03_7f200bdbf129:59524251,1
2026-08-03_c6ba75ad540b:59524272,2
2026-08-03_c6ba75ad540b:59524273,1
2026-08-03_d0a70a33d273:59523851,1
2026-08-03_d0a70a33d273:59523855,1
2026-08-03_d0a70a33d273:59523862,1
2026-08-03_d0a70a33d273:59523863,1
2026-08-03_d0a70a33d273:59523887,1
2026-08-03_d0a70a33d273:59523896,1
2026-08-03_d8e3322d6f2c:59524361,1
2026-08-03_f1ce2c62420e:59523844,1
2026-08-04_a6a45be8a495:59526838,1
2026-08-04_a6a45be8a495:59526851,1
2026-08-04_a6a45be8a495:59526856,1
2026-08-04_a6a45be8a495:59526872,1
2026-08-04_a6a45be8a495:59526901,1
2026-08-04_a6a45be8a495:59526916,1
2026-08-04_a6a45be8a495:59526922,1
2026-08-04_a6a45be8a495:59526928,1
2026-08-04_a6a45be8a495:59526952,1
2026-08-04_a6a45be8a495:59526975,1
2026-08-04_a6a45be8a495:59526978,1
2026-08-04_a6a45be8a495:59526987,1
2026-08-04_a6a45be8a495:59527000,1
2026-08-04_a6a45be8a495:59527004,1
2026-08-04_a6a45be8a495:59527012,1
2026-08-07_46d1e1a74698:59535487,1
2026-08-07_46d1e1a74698:59535510,1
2026-08-07_46d1e1a74698:59535523,2
2026-08-07_46d1e1a74698:59535524,1
2026-08-07_46d1e1a74698:59535574,1
2026-08-07_46d1e1a74698:59535832,1
2026-08-24_aeee94c4bfe5:59584437,1
2026-08-24_aeee94c4bfe5:59584500,1
2026-08-24_aeee94c4bfe5:59584510,1
2026-08-24_aeee94c4bfe5:59584645,1
2026-08-25_fd89fc8de22f:59587701,1
2026-08-26_a055aa6c7a87:59591702,1
2026-08-27_ba5ebc09e758:59593099,1
2026-08-27_ba5ebc09e758:59593105,1
2026-08-27_ba5ebc09e758:59593194,1
