duration_ms,research_date,eligible_active_intervals,comparable_active_intervals,comparable_active_coverage,matched_pair_count,observed_anchor_count
10000,2026-07-29,22678,8145,0.35915865596613455,55,0
10000,2026-07-30,559903,220771,0.39430222735009457,461,20
10000,2026-08-03,303151,112154,0.3699608445955976,582,3
10000,2026-08-04,175451,79911,0.4554604989427247,270,8
10000,2026-08-07,235879,98940,0.4194523463301099,516,1
10000,2026-08-24,159187,70008,0.4397846557821933,551,1
10000,2026-08-25,160410,68701,0.4282837728321177,543,0
10000,2026-08-26,136074,55536,0.4081308699678116,1164,1
10000,2026-08-27,78867,32755,0.4153194618788593,282,0
30000,2026-07-29,22678,8814,0.3886586118705353,13,0
30000,2026-07-30,559903,222500,0.3973902622418526,106,21
30000,2026-08-03,303151,106221,0.35038973976665094,131,6
30000,2026-08-04,175451,75125,0.4281822275165146,59,8
30000,2026-08-07,235879,95321,0.4041097342281424,117,3
30000,2026-08-24,159187,78743,0.4946572270348709,137,2
30000,2026-08-25,160410,71673,0.446811296053862,128,0
30000,2026-08-26,136074,63758,0.4685538750973735,295,0
30000,2026-08-27,78867,34499,0.43743263976060964,70,0
60000,2026-07-29,22678,7763,0.3423141370491225,6,0
60000,2026-07-30,559903,94517,0.16880959737668846,21,15
60000,2026-08-03,303151,69668,0.22981286553565713,40,2
60000,2026-08-04,175451,43630,0.24867341878929158,17,3
60000,2026-08-07,235879,47848,0.20284976619368406,28,2
60000,2026-08-24,159187,34225,0.21499871220639877,32,1
60000,2026-08-25,160410,33593,0.2094196122436257,28,1
60000,2026-08-26,136074,37603,0.27634228434528274,88,0
60000,2026-08-27,78867,25836,0.32758948609684657,22,1
