cluster_id,capture_id,research_date,bucket_30s,start_ts_ns,end_ts_ns,member_count
2026-07-29_0540d8311fc2:59510455,2026-07-29_0540d8311fc2,2026-07-29,59510455,1785313650220000000,1785313679260000000,96
2026-07-29_0540d8311fc2:59510456,2026-07-29_0540d8311fc2,2026-07-29,59510456,1785313680000000000,1785313709760000000,79
2026-07-29_0540d8311fc2:59510457,2026-07-29_0540d8311fc2,2026-07-29,59510457,1785313710000000000,1785313739760000000,52
2026-07-29_0540d8311fc2:59510458,2026-07-29_0540d8311fc2,2026-07-29,59510458,1785313740260000000,1785313768260000000,77
2026-07-29_0540d8311fc2:59510459,2026-07-29_0540d8311fc2,2026-07-29,59510459,1785313772500000000,1785313799000000000,54
2026-07-29_0540d8311fc2:59510460,2026-07-29_0540d8311fc2,2026-07-29,59510460,1785313800000000000,1785313829760000000,68
2026-07-29_0540d8311fc2:59510461,2026-07-29_0540d8311fc2,2026-07-29,59510461,1785313830000000000,1785313858260000000,77
2026-07-29_0540d8311fc2:59510462,2026-07-29_0540d8311fc2,2026-07-29,59510462,1785313860260000000,1785313889260000000,70
2026-07-29_0540d8311fc2:59510463,2026-07-29_0540d8311fc2,2026-07-29,59510463,1785313890260000000,1785313919760000000,60
2026-07-29_0540d8311fc2:59510464,2026-07-29_0540d8311fc2,2026-07-29,59510464,1785313920000000000,1785313948760000000,63
2026-07-29_0540d8311fc2:59510465,2026-07-29_0540d8311fc2,2026-07-29,59510465,1785313950760000000,1785313979500000000,48
2026-07-29_0540d8311fc2:59510466,2026-07-29_0540d8311fc2,2026-07-29,59510466,1785313980000000000,1785314008500000000,34
2026-07-29_0540d8311fc2:59510467,2026-07-29_0540d8311fc2,2026-07-29,59510467,1785314011500000000,1785314037000000000,58
2026-07-29_0540d8311fc2:59510468,2026-07-29_0540d8311fc2,2026-07-29,59510468,1785314040260000000,1785314067500000000,52
2026-07-29_0540d8311fc2:59510469,2026-07-29_0540d8311fc2,2026-07-29,59510469,1785314071000000000,1785314099500000000,54
2026-07-29_0540d8311fc2:59510470,2026-07-29_0540d8311fc2,2026-07-29,59510470,1785314100260000000,1785314129760000000,72
2026-07-29_0540d8311fc2:59510471,2026-07-29_0540d8311fc2,2026-07-29,59510471,1785314130000000000,1785314156500000000,33
2026-07-29_0540d8311fc2:59510472,2026-07-29_0540d8311fc2,2026-07-29,59510472,1785314160260000000,1785314189760000000,64
2026-07-29_0540d8311fc2:59510473,2026-07-29_0540d8311fc2,2026-07-29,59510473,1785314190260000000,1785314219260000000,46
2026-07-29_0540d8311fc2:59510474,2026-07-29_0540d8311fc2,2026-07-29,59510474,1785314220760000000,1785314247260000000,43
2026-07-29_0540d8311fc2:59510475,2026-07-29_0540d8311fc2,2026-07-29,59510475,1785314250260000000,1785314279760000000,45
2026-07-29_0540d8311fc2:59510476,2026-07-29_0540d8311fc2,2026-07-29,59510476,1785314280000000000,1785314309000000000,32
2026-07-29_0540d8311fc2:59510477,2026-07-29_0540d8311fc2,2026-07-29,59510477,1785314310500000000,1785314337760000000,58
2026-07-29_0540d8311fc2:59510478,2026-07-29_0540d8311fc2,2026-07-29,59510478,1785314340500000000,1785314369500000000,36
2026-07-29_0540d8311fc2:59510479,2026-07-29_0540d8311fc2,2026-07-29,59510479,1785314370260000000,1785314399500000000,31
2026-07-29_0540d8311fc2:59510480,2026-07-29_0540d8311fc2,2026-07-29,59510480,1785314400000000000,1785314427760000000,22
2026-07-29_0540d8311fc2:59510481,2026-07-29_0540d8311fc2,2026-07-29,59510481,1785314430000000000,1785314456760000000,40
2026-07-29_0540d8311fc2:59510482,2026-07-29_0540d8311fc2,2026-07-29,59510482,1785314460760000000,1785314489760000000,31
2026-07-29_0540d8311fc2:59510483,2026-07-29_0540d8311fc2,2026-07-29,59510483,1785314490500000000,1785314519760000000,16
2026-07-29_0540d8311fc2:59510484,2026-07-29_0540d8311fc2,2026-07-29,59510484,1785314520000000000,1785314545000000000,43
2026-07-29_0540d8311fc2:59510485,2026-07-29_0540d8311fc2,2026-07-29,59510485,1785314558760000000,1785314578500000000,21
2026-07-29_0540d8311fc2:59510486,2026-07-29_0540d8311fc2,2026-07-29,59510486,1785314580260000000,1785314609760000000,75
2026-07-29_0540d8311fc2:59510487,2026-07-29_0540d8311fc2,2026-07-29,59510487,1785314610500000000,1785314639760000000,61
2026-07-29_0540d8311fc2:59510488,2026-07-29_0540d8311fc2,2026-07-29,59510488,1785314640260000000,1785314669760000000,68
2026-07-29_0540d8311fc2:59510489,2026-07-29_0540d8311fc2,2026-07-29,59510489,1785314670760000000,1785314697500000000,45
2026-07-29_0540d8311fc2:59510490,2026-07-29_0540d8311fc2,2026-07-29,59510490,1785314701260000000,1785314729760000000,64
2026-07-29_0540d8311fc2:59510491,2026-07-29_0540d8311fc2,2026-07-29,59510491,1785314730000000000,1785314759760000000,64
2026-07-29_0540d8311fc2:59510492,2026-07-29_0540d8311fc2,2026-07-29,59510492,1785314760500000000,1785314789760000000,72
2026-07-29_0540d8311fc2:59510493,2026-07-29_0540d8311fc2,2026-07-29,59510493,1785314791500000000,1785314819260000000,56
2026-07-29_0540d8311fc2:59510494,2026-07-29_0540d8311fc2,2026-07-29,59510494,1785314820000000000,1785314847500000000,43
2026-07-29_0540d8311fc2:59510495,2026-07-29_0540d8311fc2,2026-07-29,59510495,1785314850760000000,1785314879760000000,58
2026-07-29_0540d8311fc2:59510496,2026-07-29_0540d8311fc2,2026-07-29,59510496,1785314881500000000,1785314905000000000,42
2026-07-29_0540d8311fc2:59510497,2026-07-29_0540d8311fc2,2026-07-29,59510497,1785314910760000000,1785314939500000000,46
2026-07-29_0540d8311fc2:59510498,2026-07-29_0540d8311fc2,2026-07-29,59510498,1785314942500000000,1785314969760000000,60
2026-07-29_0540d8311fc2:59510499,2026-07-29_0540d8311fc2,2026-07-29,59510499,1785314970000000000,1785314999760000000,37
2026-07-29_0540d8311fc2:59510500,2026-07-29_0540d8311fc2,2026-07-29,59510500,1785315000500000000,1785315029760000000,60
2026-07-29_0540d8311fc2:59510501,2026-07-29_0540d8311fc2,2026-07-29,59510501,1785315030000000000,1785315058260000000,33
2026-07-29_0540d8311fc2:59510502,2026-07-29_0540d8311fc2,2026-07-29,59510502,1785315060500000000,1785315088500000000,43
2026-07-29_0540d8311fc2:59510503,2026-07-29_0540d8311fc2,2026-07-29,59510503,1785315092000000000,1785315118500000000,29
2026-07-29_0540d8311fc2:59510504,2026-07-29_0540d8311fc2,2026-07-29,59510504,1785315122260000000,1785315149760000000,32
2026-07-29_0540d8311fc2:59510505,2026-07-29_0540d8311fc2,2026-07-29,59510505,1785315151760000000,1785315177760000000,37
2026-07-29_0540d8311fc2:59510506,2026-07-29_0540d8311fc2,2026-07-29,59510506,1785315181500000000,1785315209260000000,28
2026-07-29_0540d8311fc2:59510507,2026-07-29_0540d8311fc2,2026-07-29,59510507,1785315210500000000,1785315239000000000,31
2026-07-29_0540d8311fc2:59510508,2026-07-29_0540d8311fc2,2026-07-29,59510508,1785315241260000000,1785315268260000000,43
2026-07-29_0540d8311fc2:59510509,2026-07-29_0540d8311fc2,2026-07-29,59510509,1785315270000000000,1785315297760000000,32
2026-07-29_0540d8311fc2:59510510,2026-07-29_0540d8311fc2,2026-07-29,59510510,1785315302000000000,1785315328000000000,17
2026-07-29_0540d8311fc2:59510511,2026-07-29_0540d8311fc2,2026-07-29,59510511,1785315330260000000,1785315357000000000,33
2026-07-29_0540d8311fc2:59510512,2026-07-29_0540d8311fc2,2026-07-29,59510512,1785315364000000000,1785315385500000000,47
2026-07-29_0540d8311fc2:59510513,2026-07-29_0540d8311fc2,2026-07-29,59510513,1785315393260000000,1785315419500000000,30
2026-07-29_0540d8311fc2:59510514,2026-07-29_0540d8311fc2,2026-07-29,59510514,1785315422500000000,1785315445760000000,26
2026-07-30_2cc63928e27f:59512309,2026-07-30_2cc63928e27f,2026-07-30,59512309,1785369291540000000,1785369299760000000,29
2026-07-30_2cc63928e27f:59512310,2026-07-30_2cc63928e27f,2026-07-30,59512310,1785369300000000000,1785369329760000000,86
2026-07-30_2cc63928e27f:59512311,2026-07-30_2cc63928e27f,2026-07-30,59512311,1785369330000000000,1785369358760000000,58
2026-07-30_2cc63928e27f:59512312,2026-07-30_2cc63928e27f,2026-07-30,59512312,1785369360500000000,1785369389760000000,78
2026-07-30_2cc63928e27f:59512313,2026-07-30_2cc63928e27f,2026-07-30,59512313,1785369390000000000,1785369419760000000,55
2026-07-30_2cc63928e27f:59512314,2026-07-30_2cc63928e27f,2026-07-30,59512314,1785369420000000000,1785369449760000000,65
2026-07-30_2cc63928e27f:59512315,2026-07-30_2cc63928e27f,2026-07-30,59512315,1785369450000000000,1785369478760000000,59
2026-07-30_2cc63928e27f:59512316,2026-07-30_2cc63928e27f,2026-07-30,59512316,1785369480260000000,1785369509760000000,67
2026-07-30_2cc63928e27f:59512317,2026-07-30_2cc63928e27f,2026-07-30,59512317,1785369510000000000,1785369539760000000,45
2026-07-30_2cc63928e27f:59512318,2026-07-30_2cc63928e27f,2026-07-30,59512318,1785369540000000000,1785369569760000000,80
2026-07-30_2cc63928e27f:59512319,2026-07-30_2cc63928e27f,2026-07-30,59512319,1785369570000000000,1785369599760000000,91
2026-07-30_2cc63928e27f:59512320,2026-07-30_2cc63928e27f,2026-07-30,59512320,1785369600000000000,1785369629760000000,120
2026-07-30_2cc63928e27f:59512321,2026-07-30_2cc63928e27f,2026-07-30,59512321,1785369630000000000,1785369659760000000,120
2026-07-30_2cc63928e27f:59512322,2026-07-30_2cc63928e27f,2026-07-30,59512322,1785369660000000000,1785369689760000000,120
2026-07-30_2cc63928e27f:59512323,2026-07-30_2cc63928e27f,2026-07-30,59512323,1785369690000000000,1785369719760000000,120
2026-07-30_2cc63928e27f:59512324,2026-07-30_2cc63928e27f,2026-07-30,59512324,1785369720000000000,1785369749760000000,120
2026-07-30_2cc63928e27f:59512325,2026-07-30_2cc63928e27f,2026-07-30,59512325,1785369750000000000,1785369779760000000,119
2026-07-30_2cc63928e27f:59512326,2026-07-30_2cc63928e27f,2026-07-30,59512326,1785369780000000000,1785369809760000000,120
2026-07-30_2cc63928e27f:59512327,2026-07-30_2cc63928e27f,2026-07-30,59512327,1785369810000000000,1785369839760000000,120
2026-07-30_2cc63928e27f:59512328,2026-07-30_2cc63928e27f,2026-07-30,59512328,1785369840000000000,1785369869760000000,120
2026-07-30_2cc63928e27f:59512329,2026-07-30_2cc63928e27f,2026-07-30,59512329,1785369870000000000,1785369899760000000,120
2026-07-30_2cc63928e27f:59512330,2026-07-30_2cc63928e27f,2026-07-30,59512330,1785369900000000000,1785369929760000000,120
2026-07-30_2cc63928e27f:59512331,2026-07-30_2cc63928e27f,2026-07-30,59512331,1785369930000000000,1785369959760000000,120
2026-07-30_2cc63928e27f:59512332,2026-07-30_2cc63928e27f,2026-07-30,59512332,1785369960000000000,1785369989760000000,120
2026-07-30_2cc63928e27f:59512333,2026-07-30_2cc63928e27f,2026-07-30,59512333,1785369990000000000,1785370019760000000,120
2026-07-30_2cc63928e27f:59512334,2026-07-30_2cc63928e27f,2026-07-30,59512334,1785370020000000000,1785370049760000000,120
2026-07-30_2cc63928e27f:59512335,2026-07-30_2cc63928e27f,2026-07-30,59512335,1785370050000000000,1785370079760000000,111
2026-07-30_2cc63928e27f:59512336,2026-07-30_2cc63928e27f,2026-07-30,59512336,1785370080000000000,1785370109760000000,120
