tau_ms,component_id,research_date,capture_id,entry_count,entry_share
100,57c1fb2a3a028f8ef59a866fc6fe516e8e1cd0f06120b83cbcb1600965abbe65,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
100,1eb228d359f762fb8e3ceaafbbfc80971d64fdda688616967053dc9928dcd0bb,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
250,a56695956e6ea8e0fa629653c644b41d17647c0a210395131feb190482f091c4,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
250,c59b53aee27deeeac2456217ab2e6adde48947b0b3330162ac9dc1d96690766d,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
500,b79434bf7a9cf193275f35e9a5d080f1491e48691b3cf5d31216d098689d8cbf,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
500,dba6f72328a711b51ca3fc3e6e4207ccb85c0d16eb66e37408477be692e119a3,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
1000,2ddc0466794839b6b5c7bf2f5ea3a192e07ed267413b4f6995c4b562ef3ad84c,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
1000,4bd769dda77ac5d0f5af3a3eb2b88cf619c28aeea77da46962751cc5195336d9,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
2000,f39e54de0bac3e2e6e9ac5114e3eeb5416785d407d7bc0ae6b9f4ad049cf526e,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
2000,f52eee37047647859cb63b1e094c2ef6c96cd9a2ae7237c37a2a7259f1c5ca17,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
5000,757b5b54ccfeab3e20f0e235333ed50d44ccadacea6accb512c1c8f5f90b001e,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
5000,5ff761c45bc209a4f3668a6c46b2be578985b5d5eb4379c5a891d505222fadfa,2026-08-24,2026-08-24_aeee94c4bfe5,1,0.5
