capture_id,research_date,eligible_event_count,anchor_count,ambiguous_count,structural_count
2026-07-29_c092d6b4402c,2026-07-29,1601899,0,0,0
2026-07-29_0540d8311fc2,2026-07-29,177582,6129,3,74066
2026-07-30_2cc63928e27f,2026-07-30,1094824,3222,0,184077
2026-07-30_bd0fb3d8fa82,2026-07-30,683713,3353,0,135852
2026-07-30_d88a85361fb1,2026-07-30,813302,3167,0,157572
2026-07-30_b19ed82d662d,2026-07-30,734774,3221,0,141699
2026-07-30_1b18a29f3daf,2026-07-30,559587,0,0,0
2026-07-30_c655ea10171f,2026-07-30,536878,3978,0,130836
2026-07-30_f91aa7f4acf1,2026-07-30,533249,4299,0,140209
2026-07-30_47309d2a7046,2026-07-30,476304,4683,0,137663
2026-08-03_f1ce2c62420e,2026-08-03,279635,6018,0,92225
2026-08-03_d0a70a33d273,2026-08-03,466474,4177,1,104638
2026-08-03_098332acc16a,2026-08-03,277571,0,0,0
2026-08-03_b7b76aed76b8,2026-08-03,213143,0,0,0
2026-08-03_2994fc7a75af,2026-08-03,265120,6276,0,104119
2026-08-03_3a405386e85b,2026-08-03,209353,6808,4,91678
2026-08-03_1dd085c2ccc5,2026-08-03,145635,6535,3,63202
2026-08-03_7f200bdbf129,2026-08-03,146476,6657,5,65502
2026-08-03_c6ba75ad540b,2026-08-03,145572,6560,1,62064
2026-08-03_d8e3322d6f2c,2026-08-03,101977,0,0,0
2026-08-04_a6a45be8a495,2026-08-04,1173818,21963,4,356638
2026-08-07_46d1e1a74698,2026-08-07,1780289,51295,7,641361
2026-08-24_aeee94c4bfe5,2026-08-24,1335809,50843,9,561149
2026-08-25_fd89fc8de22f,2026-08-25,1404485,48682,8,627945
2026-08-26_164de1d394f7,2026-08-26,679438,27617,5,294535
2026-08-26_a055aa6c7a87,2026-08-26,205447,0,0,0
2026-08-26_7e4d0a9ed099,2026-08-26,398577,22847,5,149420
2026-08-26_20fa36ad4d76,2026-08-26,262061,15527,3,69945
2026-08-27_ba5ebc09e758,2026-08-27,682948,26211,4,272265
