research_date,component,anchor_count,threshold_hit_count,threshold_hit_share,nonfloor_ge2_share
2026-07-29,dep,6129,5946,0.9701419481155164,0.8303148963941915
2026-07-29,trade,6129,3843,0.6270190895741556,0.8303148963941915
2026-07-29,ofi,6129,5495,0.8965573503018437,0.8303148963941915
2026-07-30,dep,25923,18260,0.7043937815839216,1.0
2026-07-30,trade,25923,20713,0.7990201751340509,1.0
2026-07-30,ofi,25923,23334,0.9001273000810092,1.0
2026-08-03,dep,43031,40910,0.9507099532894889,0.5635472101508215
2026-08-03,trade,43031,25209,0.5858334688945179,0.5635472101508215
2026-08-03,ofi,43031,39322,0.9138063256721898,0.5635472101508215
2026-08-04,dep,21963,17810,0.8109092564768019,0.9923507717524929
2026-08-04,trade,21963,17615,0.802030687975231,0.9923507717524929
2026-08-04,ofi,21963,19294,0.878477439329782,0.9923507717524929
2026-08-07,dep,51295,47969,0.9351593722585048,0.7666829125645774
2026-08-07,trade,51295,30744,0.5993566624427332,0.7666829125645774
2026-08-07,ofi,51295,46734,0.9110829515547324,0.7666829125645774
2026-08-24,dep,50843,48821,0.9602305135416872,0.647581771335287
2026-08-24,trade,50843,25926,0.5099227032236493,0.647581771335287
2026-08-24,ofi,50843,46429,0.9131837224396672,0.647581771335287
2026-08-25,dep,48682,47542,0.9765827205127152,0.6421675362557002
2026-08-25,trade,48682,23934,0.4916396203935746,0.6421675362557002
2026-08-25,ofi,48682,44435,0.9127603631732468,0.6421675362557002
2026-08-26,dep,65991,64698,0.9804064190571442,0.3693988574199512
2026-08-26,trade,65991,25678,0.38911366701519906,0.3693988574199512
2026-08-26,ofi,65991,62178,0.9422193935536665,0.3693988574199512
2026-08-27,dep,26211,24670,0.9412078898172523,0.5230246842928541
2026-08-27,trade,26211,11956,0.45614436686887183,0.5230246842928541
2026-08-27,ofi,26211,24577,0.9376597611689749,0.5230246842928541
