capture_id,research_date,role,start_utc,end_utc,duration_seconds,raw_path,raw_size_bytes,raw_sha256,depth_gap_count,raw_hash_verified
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,2026-07-29T02:27:24.833780+00:00,2026-07-29T04:27:24.915694+00:00,7200.081914,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_public_sample_skhynix_0729T003_2h_20260729T022724Z/binance_public_raw/raw.gz,128799387,066a806063bc82e2ed1e672b877b7612a0ab282961cbdf3e651eb75d6c33c3ab,0,true
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,2026-07-29T08:27:28.004020+00:00,2026-07-29T08:57:28.078044+00:00,1800.074024,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_public_sample_skhynix_0729T007_30m_20260729T082727Z/binance_public_raw/raw.gz,16908119,e78afce215a194d5f1c6618644cff9cf9333991202df9555aec769078f0b2ce4,0,true
2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,2026-07-29T23:54:49.304167+00:00,2026-07-30T00:24:49.407952+00:00,1800.103785,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/segments/segment_0001/skhynix/sample/binance_public_raw/raw.gz,64195000,673d0c471d4a3e3967a148970d6799a005903f2c5a3de7ab3679aaf7e2d1fb49,0,true
2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,2026-07-30T00:24:50.469877+00:00,2026-07-30T00:54:50.523775+00:00,1800.053898,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/segments/segment_0002/skhynix/sample/binance_public_raw/raw.gz,49701511,df8fe7e213daf2ad49b08371a5e466b16f8129e4e470329fcc78c70d1e9af2bf,0,true
2026-07-30_d88a85361fb1,2026-07-30,historical_method_development,2026-07-30T00:54:51.391657+00:00,2026-07-30T01:24:51.439155+00:00,1800.047498,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/segments/segment_0003/skhynix/sample/binance_public_raw/raw.gz,53888312,5961899b0c2407e0903e1a51d8042847b7f8da808d2932106beb4cd3a8ec261b,0,true
2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,2026-07-30T01:24:52.572031+00:00,2026-07-30T01:54:52.602208+00:00,1800.030177,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/segments/segment_0004/skhynix/sample/binance_public_raw/raw.gz,49513762,13559e705fe55fb5cab57a825defaa05c8a0af99a5209ac0a17359d18cb8922b,0,true
2026-07-30_1b18a29f3daf,2026-07-30,historical_method_development,2026-07-30T01:54:53.494613+00:00,2026-07-30T02:24:53.558322+00:00,1800.063709,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/segments/segment_0005/skhynix/sample/binance_public_raw/raw.gz,44600784,89fbf8c7321597ca58104dc22c8d1fe252806b5764bf905734e3ccc181bd8f10,0,true
2026-07-30_c655ea10171f,2026-07-30,historical_method_development,2026-07-30T02:24:54.405940+00:00,2026-07-30T02:54:54.480395+00:00,1800.074455,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/segments/segment_0006/skhynix/sample/binance_public_raw/raw.gz,39388915,794f4a3bc431286630f5e2a8cc1b9be34e044364ffd8816ce73f14ca3abfa52d,0,true
2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,2026-07-30T02:54:55.328491+00:00,2026-07-30T03:24:55.350020+00:00,1800.021529,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/segments/segment_0007/skhynix/sample/binance_public_raw/raw.gz,37116708,caf69262f8204a8938647e7f2ddbc6180388428d4742df45887907ec53fe8ed1,0,true
2026-07-30_47309d2a7046,2026-07-30,historical_method_development,2026-07-30T03:24:56.250363+00:00,2026-07-30T03:54:56.281912+00:00,1800.031549,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/segments/segment_0008/skhynix/sample/binance_public_raw/raw.gz,35443846,62010360166a3abaaad3abace818ab22fd5b96c8824b7211abd27a949d57a2bc,0,true
