horizon_ms,complete_reversal_count,complete_pair_count,overall_reversal_complete_fraction,minimum_date_complete_fraction,complete_pair_date_count,qualifies
100,4021,2801,1.0,1.0,9,true
200,4021,2801,1.0,1.0,9,true
500,4021,2801,1.0,1.0,9,true
1000,4020,2801,0.9997513056453619,0.9984472049689441,9,true
2000,4019,2801,0.9995026112907237,0.997867803837953,9,true
5000,4016,2798,0.9987565282268093,0.9936034115138592,9,true
10000,4011,2790,0.9975130564536185,0.9827586206896551,9,true
30000,3992,2770,0.9927878637154937,0.9655172413793104,9,true
60000,3963,2742,0.9855757274309873,0.9137931034482759,9,true
120000,3910,2680,0.9723949266351654,0.8275862068965517,9,true
300000,3765,2508,0.9363342452126336,0.6896551724137931,9,false
