research_date,side,obi_bin,reversal_count,control_count,common_support
2026-07-29,-1,0,2,1,true
2026-07-29,-1,1,1,1,true
2026-07-29,-1,2,1,4,true
2026-07-29,-1,3,4,0,false
2026-07-29,-1,4,4,4,true
2026-07-29,-1,5,8,2,true
2026-07-29,-1,6,5,2,true
2026-07-29,-1,7,7,0,false
2026-07-29,-1,8,7,3,true
2026-07-29,-1,9,5,2,true
2026-07-29,1,0,1,1,true
2026-07-29,1,1,4,2,true
2026-07-29,1,2,5,6,true
2026-07-29,1,3,10,2,true
2026-07-29,1,4,7,5,true
2026-07-29,1,5,6,3,true
2026-07-29,1,6,5,8,true
2026-07-29,1,7,6,5,true
2026-07-29,1,8,1,8,true
2026-07-30,-1,1,3,2,true
2026-07-30,-1,2,3,1,true
2026-07-30,-1,3,1,2,true
2026-07-30,-1,4,3,3,true
2026-07-30,-1,5,5,1,true
2026-07-30,-1,6,5,5,true
2026-07-30,-1,7,7,3,true
2026-07-30,-1,8,2,4,true
2026-07-30,-1,9,1,0,false
2026-07-30,1,0,2,1,true
2026-07-30,1,1,3,2,true
2026-07-30,1,3,4,0,false
2026-07-30,1,4,3,3,true
2026-07-30,1,5,4,1,true
2026-07-30,1,6,2,1,true
2026-07-30,1,7,2,3,true
2026-07-30,1,8,6,1,true
2026-07-30,1,9,2,1,true
2026-08-03,-1,0,18,6,true
2026-08-03,-1,1,19,11,true
2026-08-03,-1,2,23,6,true
2026-08-03,-1,3,32,8,true
2026-08-03,-1,4,28,19,true
2026-08-03,-1,5,25,15,true
2026-08-03,-1,6,24,18,true
2026-08-03,-1,7,36,16,true
2026-08-03,-1,8,20,16,true
2026-08-03,-1,9,10,5,true
2026-08-03,1,0,14,15,true
2026-08-03,1,1,26,13,true
2026-08-03,1,2,23,25,true
2026-08-03,1,3,38,28,true
2026-08-03,1,4,26,22,true
2026-08-03,1,5,30,26,true
2026-08-03,1,6,29,28,true
2026-08-03,1,7,21,28,true
2026-08-03,1,8,22,17,true
2026-08-03,1,9,5,4,true
2026-08-04,-1,0,2,4,true
2026-08-04,-1,1,7,4,true
2026-08-04,-1,2,5,4,true
2026-08-04,-1,3,5,4,true
2026-08-04,-1,4,12,8,true
2026-08-04,-1,5,20,5,true
2026-08-04,-1,6,9,3,true
2026-08-04,-1,7,13,6,true
2026-08-04,-1,8,10,7,true
2026-08-04,-1,9,0,3,false
2026-08-04,1,0,6,7,true
2026-08-04,1,1,6,4,true
2026-08-04,1,2,4,1,true
2026-08-04,1,3,7,7,true
2026-08-04,1,4,9,8,true
2026-08-04,1,5,14,7,true
2026-08-04,1,6,16,8,true
2026-08-04,1,7,10,11,true
2026-08-04,1,8,10,9,true
2026-08-04,1,9,2,3,true
2026-08-07,-1,0,17,14,true
2026-08-07,-1,1,25,17,true
2026-08-07,-1,2,25,19,true
2026-08-07,-1,3,26,17,true
2026-08-07,-1,4,40,33,true
2026-08-07,-1,5,43,23,true
2026-08-07,-1,6,42,34,true
2026-08-07,-1,7,31,38,true
2026-08-07,-1,8,31,27,true
2026-08-07,-1,9,12,14,true
2026-08-07,1,0,17,5,true
2026-08-07,1,1,29,12,true
2026-08-07,1,2,29,10,true
2026-08-07,1,3,36,18,true
2026-08-07,1,4,40,14,true
2026-08-07,1,5,38,22,true
2026-08-07,1,6,36,18,true
2026-08-07,1,7,28,17,true
2026-08-07,1,8,29,10,true
2026-08-07,1,9,10,2,true
2026-08-24,-1,0,20,11,true
2026-08-24,-1,1,44,22,true
2026-08-24,-1,2,32,25,true
2026-08-24,-1,3,47,19,true
2026-08-24,-1,4,45,32,true
2026-08-24,-1,5,32,30,true
2026-08-24,-1,6,38,26,true
2026-08-24,-1,7,23,30,true
2026-08-24,-1,8,32,18,true
2026-08-24,-1,9,10,8,true
2026-08-24,1,0,21,11,true
2026-08-24,1,1,31,18,true
2026-08-24,1,2,35,19,true
2026-08-24,1,3,42,25,true
2026-08-24,1,4,35,20,true
2026-08-24,1,5,45,28,true
2026-08-24,1,6,38,21,true
2026-08-24,1,7,27,22,true
2026-08-24,1,8,40,23,true
2026-08-24,1,9,7,10,true
2026-08-25,-1,0,27,10,true
2026-08-25,-1,1,36,16,true
2026-08-25,-1,2,52,21,true
2026-08-25,-1,3,42,25,true
2026-08-25,-1,4,49,36,true
2026-08-25,-1,5,43,30,true
2026-08-25,-1,6,37,38,true
2026-08-25,-1,7,38,25,true
2026-08-25,-1,8,45,18,true
2026-08-25,-1,9,21,9,true
2026-08-25,1,0,27,16,true
2026-08-25,1,1,37,18,true
2026-08-25,1,2,38,20,true
2026-08-25,1,3,48,20,true
2026-08-25,1,4,52,16,true
2026-08-25,1,5,46,18,true
2026-08-25,1,6,38,18,true
2026-08-25,1,7,53,17,true
2026-08-25,1,8,36,21,true
2026-08-25,1,9,15,5,true
2026-08-26,-1,0,50,54,true
2026-08-26,-1,1,62,58,true
2026-08-26,-1,2,74,68,true
2026-08-26,-1,3,63,84,true
2026-08-26,-1,4,82,77,true
2026-08-26,-1,5,53,63,true
2026-08-26,-1,6,49,63,true
2026-08-26,-1,7,36,48,true
2026-08-26,-1,8,28,51,true
