entry_id,entry_type,reversal_indicator_R,capture_id,research_date,role,side,decision_index,decision_ts_ns,cross_ts_ns,detection_delay_ms,obi_bin,risk_set_key,primary_common_support,current_obi,current_l1_obi,current_l1_l3_obi,level_imbalance_dispersion,log_total_depth,bid_depth_concentration,ask_depth_concentration,spread_ticks,signed_book_flow,signed_trade_flow,trailing_midpoint_1s_ticks,trailing_midpoint_5s_ticks,trailing_abs_midpoint_5s_ticks,source_age_ms,no_new_information,depth_update_count,utc_time_sin,utc_time_cos
rev_000000,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,344,1785313682700000000,1785313681700000000,1000,5,2026-07-29|1|5,true,0.7898043062195618,0.6397058720317006,0.7808134176365268,0.13772533748117138,3.746912518373779,0.12041036784648895,0.22528736293315887,1.0,1.0,0.0,8.0,124.0,268.0,25.147938189409047,0.0,3.0000000152372346,0.7985479711534222,-0.6019311736126923
rev_000001,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,894,1785313737700000000,1785313736400000000,1300,7,2026-07-29|-1|7,false,-0.8966779908252412,-0.9584317547510744,-0.8931598344572538,0.7834081702750246,4.31414941235498,0.34645670652389526,0.8891907334327698,1.0,0.8474576362084073,1.0,-42.0,-59.0,145.0,29.03863591654641,0.0,3.0000000152372346,0.7961340382530545,-0.6051203129418843
rev_000002,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1208,1785313769100000000,1785313768200000000,900,1,2026-07-29|1|1,true,0.5897436012931947,0.21808512091991053,0.40884957296895047,0.3607536277061806,2.478217671848411,0.2638248801231384,0.65625,1.0,-0.9000000024116238,-1.0,12.0,8.0,122.0,17.4498541822879,0.0,3.0000000152372346,0.7947237049137225,-0.6069713608138415
rev_000003,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1310,1785313779300000000,1785313777500000000,1800,2,2026-07-29|-1|2,true,-0.649572655538053,-0.4374999935789406,-0.4779116627316828,0.181239830262509,2.081938427169338,0.0731707289814949,0.03972366079688072,1.0,0.8513094829449903,1.0,-28.0,32.0,186.0,11.35268364550795,0.0,4.000000150353914,0.7942820927782999,-0.6075491396518674
rev_000004,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1325,1785313780800000000,1785313779400000000,1400,2,2026-07-29|1|2,true,0.6150845122219769,0.877813496104202,0.8141414082804221,0.3707007266015094,2.16217292848613,0.4702093303203583,0.12837837636470795,4.0,1.0,0.0,34.5,60.5,151.5,19.47085077301149,0.0,3.0000000152372346,0.7942379084578323,-0.6076068998690914
rev_000005,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,2261,1785313874400000000,1785313871300000000,3100,8,2026-07-29|-1|8,true,-0.9077776583841084,-0.9187110065040168,-0.9214762356416579,0.30241996994904047,4.658995093678851,0.8112033009529114,0.9255841970443726,1.0,1.0,1.0,-9.0,11.0,235.0,13.46959803151687,0.0,3.0000000152372346,0.7900658603010822,-0.6130219705579164
rev_000006,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,2460,1785313894300000000,1785313891000000000,3300,7,2026-07-29|1|7,true,0.8718662953624341,0.8941176469834382,0.8596491217785344,0.07989789247576526,3.1152915137501482,0.3993055522441864,0.32608696818351746,1.0,1.0,1.0,10.0,11.5,129.5,19.448802202670574,0.0,3.0000000152372346,0.7891734206489717,-0.6141704259740949
rev_000007,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,2507,1785313899000000000,1785313897300000000,1700,4,2026-07-29|-1|4,true,-0.7413937959705487,-0.5394736887075128,-0.5652174013070542,0.21572021616161083,2.558002208701548,0.22727273404598236,0.11282546073198318,1.0,-0.6000000041284274,0.0,-17.0,-10.0,187.0,29.337375187890014,0.0,3.0000000152372346,0.7889500498158447,-0.6144573369206165
rev_000008,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,2551,1785313903400000000,1785313902500000000,900,2,2026-07-29|1|2,true,0.6430155134886403,0.21527781040055413,0.4606299212472204,0.2798881776293844,2.3045830948621213,0.23616734147071838,0.7018633484840393,1.0,-0.28395063023024186,0.0,49.0,25.0,279.0,53.62947843314618,0.0,2.000000059502263,0.7887712780454483,-0.6146868071876523
rev_000009,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,3155,1785313963800000000,1785313961300000000,2500,6,2026-07-29|-1|6,true,-0.8484349157603056,-0.6719424190535822,-0.8423357545717153,0.1836489863952931,3.230013512900834,0.6195651888847351,0.2589126527309418,1.0,1.0,1.0,-10.0,-85.0,297.0,19.639710437331942,0.0,3.0000000152372346,0.7860817008583627,-0.6181226088533112
rev_000010,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,3606,1785314008900000000,1785314008000000000,900,2,2026-07-29|1|2,true,0.6345601920828713,-0.662790686084922,0.786041210146115,0.6835638191695668,3.671479002037586,0.00926221627742052,0.20428571105003357,1.0,0.45806456303661836,0.0,-12.0,-69.0,132.0,23.622936079672144,0.0,3.0000000152372346,0.7840546938097693,-0.6206917408141249
rev_000011,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,3654,1785314013700000000,1785314012400000000,1300,5,2026-07-29|-1|5,true,-0.7973094109729544,-0.9009008973699607,-0.9546827799750844,0.23727109107013905,2.4973291680099567,0.09734513610601425,0.21057884395122528,1.0,-1.0,0.0,-16.0,15.0,206.0,7.517710133517511,0.0,4.000000150353914,0.7838289520980846,-0.6209767901079867
rev_000012,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,4027,1785314051000000000,1785314049500000000,1500,3,2026-07-29|1|3,true,0.6913494977111914,0.6480186737299672,0.6538060713908123,0.6173845051594674,2.7376090810326947,0.5785597562789917,0.6771300435066223,1.0,0.36842105083607884,0.0,44.5,41.0,225.0,57.22078158886979,0.0,2.000000059502263,0.7821099305462003,-0.6231404789780696
rev_000013,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,4056,1785314053900000000,1785314051200000000,2700,0,2026-07-29|-1|0,true,-0.5192033969353587,-0.25301200371211935,-0.38217819771049744,0.5408435572341519,2.083184506049985,0.7337278127670288,0.3895131051540375,1.0,1.0,0.0,-10.0,-3.5,169.5,37.46953313856575,0.0,1.0000000038093086,0.7820192901653095,-0.6232542256650535
rev_000014,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,4150,1785314063300000000,1785314062400000000,900,7,2026-07-29|1|7,true,0.8820608316246061,0.6497695952288033,0.8348439080558409,0.11290900578368948,2.839663091410942,0.11807388067245483,0.4000000059604645,1.0,0.5701524213770905,-1.0,38.0,-50.0,146.0,8.885356168954917,0.0,4.000000150353914,0.7815658401568221,-0.6238227612871792
rev_000015,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,4197,1785314068000000000,1785314067000000000,1000,1,2026-07-29|-1|1,true,-0.5742725783352562,-0.3636363582302614,-0.34140433749297555,0.2892683345253659,2.018895041027955,0.3525179922580719,0.20428015291690826,1.0,0.0,0.0,-46.0,-24.0,198.0,55.505608843131874,0.0,2.000000059502263,0.7813389601385199,-0.6241069054013554
rev_000016,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,4215,1785314069800000000,1785314068200000000,1600,4,2026-07-29|1|4,true,0.7161885110457367,0.5581014502870362,0.7523975403270557,0.18528403857477213,3.0213999975645867,0.28417909145355225,0.48736461997032166,1.0,0.8095238053233097,0.0,27.0,7.0,196.0,7.538217230821525,0.0,4.000000150353914,0.7812935717375736,-0.6241637243236304
rev_000017,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,4250,1785314073300000000,1785314072400000000,900,8,2026-07-29|-1|8,true,-0.933615076439446,-0.9414908613534765,-0.9427748817417685,0.27424736695730156,4.741273297044652,0.8275862336158752,0.9428102970123291,1.0,-1.0,0.0,-8.0,-16.0,88.0,53.33907325815221,0.0,2.000000059502263,0.7811119768175028,-0.6243909670008472
rev_000018,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,4411,1785314089400000000,1785314088300000000,1100,4,2026-07-29|1|4,true,0.7247801433964908,-0.7487437276486135,0.48330914430716576,0.6703843017338943,3.0120976739638428,0.014997000806033611,0.6541353464126587,1.0,1.0,0.0,17.0,40.0,282.0,27.241867231875123,0.0,3.0000000152372346,0.7803849363456472,-0.625299409183153
rev_000019,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,4454,1785314093700000000,1785314091400000000,2300,7,2026-07-29|-1|7,false,-0.8583638568538067,-0.9051724192991789,-0.712000013242179,0.5894998825636242,2.218115915155765,0.18965516984462738,0.29040735960006714,1.0,0.0,-1.0,-11.0,-57.0,129.0,27.493273046849747,0.0,3.0000000152372346,0.7802030111066894,-0.6255263875010031
rev_000020,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,4464,1785314094700000000,1785314093800000000,900,7,2026-07-29|1|7,true,0.8804257182291523,0.38461541418106304,0.39545121735482125,0.3259206304225007,4.5730601881745425,0.04694262519478798,0.32809773087501526,1.0,0.6698444641100303,1.0,-8.0,-79.0,129.0,41.13981519723284,0.0,3.0000000152372346,0.7801575194810954,-0.6255831238109804
rev_000021,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,4686,1785314116900000000,1785314114200000000,2700,5,2026-07-29|-1|5,true,-0.7757909228957253,-0.09756094753408286,-0.743478264752431,0.2908001215441191,2.7434173484679936,0.2269938588142395,0.03485669940710068,1.0,-0.6764705882308568,-1.0,-14.0,38.0,232.0,3.117928797716478,0.0,3.0000000152372346,0.7791556603016028,-0.6268304850754894
rev_000022,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,4823,1785314130600000000,1785314129500000000,1100,5,2026-07-29|1|5,true,0.7965821427861447,-0.5406698466553103,0.5850672925442029,0.5657384762795971,3.618456994413944,0.014728444628417492,0.4363143742084503,1.0,-0.4393531050174354,0.0,29.0,-24.0,238.0,3.4862127855342546,0.0,4.000000150353914,0.7785170750074935,-0.6276234252493901
rev_000023,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,4870,1785314135300000000,1785314134400000000,900,6,2026-07-29|-1|6,true,-0.8126829280301775,-0.5723270162344261,-0.8080194427537728,0.13735388630361448,2.4203681424915953,0.3541666567325592,0.13455328345298767,1.0,1.0,0.0,-30.0,4.0,106.0,21.567022265272062,0.0,3.0000000152372346,0.7782888132303495,-0.6279064605500522
rev_000024,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,5077,1785314156000000000,1785314154400000000,1600,2,2026-07-29|1|2,true,0.6192307731914907,0.9646017710138454,0.7175141179815672,0.4047707722772958,1.824549302112391,0.5273159146308899,0.04040404036641121,1.0,0.6069363874668642,0.0,0.0,-11.0,215.0,21.558490568177493,0.0,3.0000000152372346,0.7773289904561469,-0.6290943018311544
rev_000025,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,5234,1785314171700000000,1785314170400000000,1300,5,2026-07-29|-1|5,true,-0.795190070957565,0.06779662627471354,-0.7670886028605668,0.41222720431841886,2.631169158032427,0.47727271914482117,0.047536734491586685,1.0,1.0,1.0,-10.0,7.0,115.0,7.533510025032187,0.0,3.0000000152372346,0.776642292686288,-0.6299418617705813
rev_000026,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,5315,1785314179800000000,1785314177000000000,2800,1,2026-07-29|1|1,true,0.551912591008996,0.5248869014445126,0.5238095465227536,0.11871441082445562,2.3174737283732627,0.4746478796005249,0.5121951103210449,1.0,0.0,0.0,53.0,56.0,222.0,37.420256851678005,0.0,3.0000000152372346,0.7762756759548465,-0.6303935873094254
rev_000027,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,5515,1785314199800000000,1785314197700000000,2100,6,2026-07-29|-1|6,true,-0.8215053814341741,-0.8128342213544455,-0.8321479401981174,0.7005232419650986,2.975529602568097,0.42168673872947693,0.4002361297607422,1.0,0.28888888579196137,0.0,-41.0,-58.0,72.0,5.011432211519212,0.0,4.000000150353914,0.7753579849051184,-0.6315219673486222
rev_000028,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,5751,1785314223400000000,1785314220600000000,2800,3,2026-07-29|1|3,true,0.6827133573123111,-0.7499999969468779,0.14285712854776095,0.624858231904546,2.3164880140621538,0.01430429145693779,0.5310344696044922,1.0,1.0,0.0,43.0,53.0,143.0,83.58427986601352,0.0,1.0000000038093086,0.774254590764373,-0.6328742597706858
rev_000029,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,6373,1785314285600000000,1785314283000000000,2600,7,2026-07-29|-1|7,false,-0.889962825627646,-0.948453603714035,-0.8614609566866684,0.2542649576316482,2.670694410941151,0.13513512909412384,0.29740363359451294,1.0,-0.845179455138425,-1.0,-55.0,-46.0,144.0,15.118340277120126,0.0,3.0000000152372346,0.7713932478160549,-0.6363587488388909
rev_000030,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,6805,1785314328800000000,1785314327500000000,1300,6,2026-07-29|1|6,true,0.8210712085666513,0.8869565211205391,0.7770034761004165,0.11961497533903277,2.8898160343573944,0.14027149975299835,0.08552631735801697,1.0,0.0,0.0,76.0,-91.0,369.0,21.078562492692228,0.0,3.0000000152372346,0.7693995550468952,-0.6387678175155976
rev_000031,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,7210,1785314369300000000,1785314368200000000,1100,4,2026-07-29|-1|4,true,-0.748892179120649,-0.953680733791459,-0.7817785111843543,0.2765913821276678,3.059176496726332,0.10980392247438431,0.664977490901947,1.0,-0.8280467475567407,-1.0,-33.0,-15.0,168.0,23.294139245380475,0.0,3.0000000152372346,0.7674915851359952,-0.6410590197052354
rev_000032,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,7440,1785314392300000000,1785314390400000000,1900,7,2026-07-29|1|7,true,0.8721437775883355,0.6350365007667045,0.9622435024610981,0.795229733945832,3.687628675517503,0.030718596652150154,0.1004016101360321,1.0,0.6208178395621247,0.0,-12.0,-23.0,77.0,5.5385736456387376,0.0,4.000000150353914,0.7664182721313983,-0.6423418343398801
rev_000033,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,7493,1785314397600000000,1785314396700000000,900,3,2026-07-29|-1|3,false,-0.6745479740062605,-0.07086615661955725,-0.4170040382827447,0.32506169333126506,2.1029138960442735,0.504273533821106,0.11295680701732635,1.0,0.38064517781247675,0.0,-30.0,-31.0,106.0,23.62547229454818,0.0,3.0000000152372346,0.7661846593896098,-0.6426204694187913
rev_000034,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,7565,1785314404800000000,1785314402300000000,2500,7,2026-07-29|1|7,true,0.888443008929701,0.5918367235944448,0.6081871220116545,0.25157544173399093,3.255014781865421,0.033149171620607376,0.14388489723205566,1.0,0.7235772446707641,1.0,1.0,-41.0,169.0,11.592336890728557,0.0,3.0000000152372346,0.765857431375492,-0.6430104157841718
rev_000035,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,8111,1785314459400000000,1785314456500000000,2900,3,2026-07-29|-1|3,false,-0.6956829364819731,-0.6172839437140116,-0.6704689416453313,0.36064303550786614,2.7166795399937063,0.5767441987991333,0.4373956620693207,1.0,-0.28571428036830554,0.0,2.0,-4.0,86.0,45.37031221277201,0.0,2.000000059502263,0.7632794552260649,-0.6460684741030177
rev_000036,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,8356,1785314483900000000,1785314479800000000,4100,3,2026-07-29|1|3,true,0.6792668792619618,-0.6909871608650145,0.7776823823207103,0.6610914510450607,3.302849238042361,0.016371076926589012,0.4690476059913635,1.0,-1.0,0.0,6.0,7.0,83.0,21.598341750026314,0.0,3.0000000152372346,0.762150691051104,-0.6473996633690233
rev_000037,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,8433,1785314491600000000,1785314489500000000,2100,7,2026-07-29|-1|7,false,-0.8826159877889936,-0.8922800670146754,-0.9012584686366055,0.060084669217916116,2.9386326958622706,0.2857142984867096,0.3129453659057617,1.0,0.0,-1.0,-20.0,-53.0,161.0,19.441622037107212,0.0,2.000000059502263,0.7617739202354085,-0.6478429550818451
rev_000038,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,8674,1785314515700000000,1785314512300000000,3400,5,2026-07-29|1|5,true,0.7686939053903271,0.2895927523803589,0.44460027624700726,0.2549373516619188,3.0473754457812214,0.16065388917922974,0.6767241358757019,1.0,-1.0,0.0,8.0,-2.0,79.0,27.55528877464748,0.0,3.0000000152372346,0.7606420613015211,-0.6491715139922368
rev_000039,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,8895,1785314537800000000,1785314534200000000,3600,6,2026-07-29|-1|6,true,-0.8070388315359518,-0.6445623410987568,-0.8201438857414994,0.1690079589073327,2.861057400512043,0.42138364911079407,0.20819342136383057,1.0,1.0,0.0,-20.0,-18.0,193.0,13.572563781669237,0.0,3.0000000152372346,0.7596024883992148,-0.6503876225895759
rev_000040,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,9076,1785314555900000000,1785314553900000000,2000,3,2026-07-29|1|3,true,0.6844274165850222,-0.7924528406084981,0.9014745243047916,0.8390650931923056,3.5544905304518686,0.0038448094855993986,0.1772388070821762,1.0,0.9959037374723999,1.0,-10.0,23.0,75.0,19.41421632593469,0.0,3.0000000152372346,0.7587504824561343,-0.6513813824270566
rev_000041,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,9218,1785314570100000000,1785314569100000000,1000,5,2026-07-29|-1|5,true,-0.7718345222693623,-0.8395773336165855,-0.795900183348169,0.3681783726587695,3.216071943189373,0.6117216348648071,0.9033018946647644,1.0,-0.24352333501878587,0.0,-39.0,-5.0,228.0,0.7511060206123645,0.0,4.000000150353914,0.7580394843109228,-0.6522086631022546
rev_000042,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,9566,1785314604900000000,1785314603300000000,1600,1,2026-07-29|1|1,true,0.5722021445252466,0.29889295140877276,0.4710424585788486,0.2655650453133698,2.4915511637237726,0.2020665854215622,0.40084388852119446,1.0,0.22348482985163698,1.0,46.0,68.0,224.0,11.1320771283284,0.0,3.0000000152372346,0.7564245504347985,-0.6540809579092736
rev_000043,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,9670,1785314615300000000,1785314614100000000,1200,9,2026-07-29|-1|9,true,-0.9849398801286481,-0.9978596121680453,-0.9905461885173908,0.7113537879360116,6.60040080573131,0.14104881882667542,0.9989023804664612,1.0,0.37851240189765234,1.0,6.0,21.0,149.0,1.506445965912738,0.0,4.000000150353914,0.7559010812645439,-0.6546858447706758
rev_000044,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,10053,1785314653600000000,1785314652700000000,900,3,2026-07-29|1|3,true,0.670588225709497,0.3459552290704297,0.6396551611753659,0.33562605780282334,2.841998143267886,0.2898443341255188,0.7142857313156128,1.0,1.0,0.0,7.0,31.0,129.0,25.529963027864014,0.0,3.0000000152372346,0.7540890135859925,-0.6567722280889357
