entry_id,entry_type,reversal_indicator_R,capture_id,research_date,role,side,decision_ts_ns,event_type,cause_code,event_time_ms,censor_reason,interval_ambiguous
rev_000000,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313682700000000,fail,2,100,,false
rev_000002,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313769100000000,fail,2,300,,false
rev_000003,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313779300000000,follow,1,100,,false
rev_000004,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313780800000000,fail,2,200,,false
rev_000005,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313874400000000,follow,1,200,,false
rev_000006,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313894300000000,follow,1,100,,false
rev_000007,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313899000000000,fail,2,100,,false
rev_000008,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313903400000000,follow,1,500,,false
rev_000009,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313963800000000,fail,2,700,,false
rev_000010,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314008900000000,follow,1,100,,false
rev_000011,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314013700000000,follow,1,100,,false
rev_000012,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314051000000000,follow,1,400,,false
rev_000013,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314053900000000,follow,1,200,,false
rev_000014,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314063300000000,follow,1,100,,false
