entry_id,capture_id,research_date,role,side,cross_ts_ns,decision_ts_ns,detection_delay_ms,pre_detection_transition,pre_detection_transition_time_ms,pre_detection_censor_reason,pre_detection_oriented_displacement_at_detection_ticks
rev_000000,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313681700000000,1785313682700000000,1000,follow,100,,8.0
rev_000002,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313768200000000,1785313769100000000,900,follow,100,,3.0
rev_000003,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313777500000000,1785313779300000000,1800,fail,100,,-3.0
rev_000004,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313779400000000,1785313780800000000,1400,follow,500,,34.5
rev_000005,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313871300000000,1785313874400000000,3100,fail,100,,-40.0
rev_000006,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313891000000000,1785313894300000000,3300,follow,600,,43.0
rev_000007,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313897300000000,1785313899000000000,1700,follow,100,,45.5
rev_000008,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313902500000000,1785313903400000000,900,follow,100,,21.0
rev_000009,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313961300000000,1785313963800000000,2500,follow,100,,86.0
rev_000010,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314008000000000,1785314008900000000,900,fail,300,,-1.0
rev_000011,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314012400000000,1785314013700000000,1300,follow,200,,40.0
rev_000012,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314049500000000,1785314051000000000,1500,follow,700,,44.0
rev_000013,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314051200000000,1785314053900000000,2700,fail,200,,63.0
rev_000014,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314062400000000,1785314063300000000,900,follow,800,,20.0
rev_000015,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314067000000000,1785314068000000000,1000,follow,100,,46.0
rev_000016,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314068200000000,1785314069800000000,1600,fail,200,,14.5
rev_000017,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314072400000000,1785314073300000000,900,none,,,-0.0
rev_000018,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314088300000000,1785314089400000000,1100,fail,300,,17.0
rev_000020,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314093800000000,1785314094700000000,900,fail,100,,1.0
