ridge,heldout_date,heldout_entry_count,H0_entry_nll,converged,iterations
0.0001,2026-07-30,87,1.7919086091525072,true,101
0.0001,2026-08-03,795,3.1531129995980582,true,620
0.0001,2026-08-04,277,2.2825485321536894,true,85
0.0001,mean,1159,2.4091900469680847,true,
0.001,2026-07-30,87,1.7927413164559125,true,65
0.001,2026-08-03,795,3.142975321144141,true,250
0.001,2026-08-04,277,2.2826819897525525,true,81
0.001,mean,1159,2.406132875784202,true,
0.01,2026-07-30,87,1.8013732586704085,true,104
0.01,2026-08-03,795,3.1419365800423003,true,273
0.01,2026-08-04,277,2.284588971272592,true,76
0.01,mean,1159,2.4092996033284337,true,
0.1,2026-07-30,87,1.8679393644472282,true,105
0.1,2026-08-03,795,3.093371140807775,true,339
0.1,2026-08-04,277,2.309568398782053,true,109
0.1,mean,1159,2.4236263013456854,true,
