grammar_id,neutral_path,path_length,occurrence_count,capture_support,date_support,maximum_capture_share,development_count,validation_count,replay_count
c448af53139e,Q1->Q0->Q1,3,27046,29,9,0.25981660874066403,8228,6653,4910
63ccdbbeea72,Q0->Q1->Q0,3,23822,29,9,0.2949794307782722,7954,4831,3883
1e721abcd652,Q1->Q0->Q1->Q0->Q1,5,17120,29,9,0.41039719626168225,6619,1366,2090
10663514f7ee,Q0->Q1->Q0->Q1->Q0,5,16743,29,9,0.41963805769575346,6594,1136,1979
544a9df1a50f,Q1->Q4->Q1,3,16491,23,9,0.16378630768297858,1680,7186,7332
50b97a782725,Q4->Q1->Q4,3,13448,20,9,0.23148423557406306,1451,4772,7023
4207144353f5,Q1->Q5->Q1,3,8164,23,9,0.22831945124938754,1994,4196,1815
3e740e0f9300,Q1->Q3->Q1,3,6423,23,9,0.16970263116923556,1952,2950,1368
102e0e21c4be,Q5->Q1->Q5,3,5544,23,9,0.1737012987012987,2200,2314,925
aa5ab7ce1fc5,Q4->Q0->Q4,3,4746,21,9,0.30699536451748843,659,1369,2668
a5e38d19db84,Q5->Q0->Q5,3,4274,23,9,0.11839026672905943,2521,1197,514
26e23a6ad9de,Q1->Q4->Q1->Q4->Q1,5,4197,18,9,0.2527996187753157,283,1569,2293
e947e53a2f67,Q0->Q5->Q0,3,4124,23,9,0.1411251212415131,2004,1427,647
4e7ed237fb69,Q5->Q3->Q5,3,4094,23,9,0.11406936980947728,3169,685,213
91045920fea7,Q0->Q4->Q0,3,3890,23,9,0.2012853470437018,617,1422,1801
1ba254f1da59,Q3->Q1->Q3,3,3850,23,9,0.16415584415584417,1833,1393,553
b5da516ba68e,Q4->Q1->Q4->Q1->Q4,5,3808,17,9,0.328781512605042,266,1132,2367
6de335caee66,Q3->Q5->Q3,3,3597,23,9,0.11287183764247985,2750,624,199
1d15c7a4de51,Q0->Q3->Q0,3,3565,23,9,0.1391304347826087,1435,1403,675
785834570a8c,Q3->Q0->Q3,3,3063,23,9,0.13581456088801827,1608,1002,413
f313cbbdaa19,Q1->Q4->Q0->Q1,4,2958,21,9,0.16768086544962812,313,1351,1249
6d7b9014f03b,Q1->Q2->Q1,3,2876,23,9,0.17593880389429764,808,1226,756
81c09eb76c40,Q1->Q0->Q4->Q1,4,2650,20,9,0.18,253,1191,1161
9e078f99fdcd,Q4->Q0->Q1->Q4,4,2320,17,9,0.19137931034482758,246,921,1123
f1c072308811,Q1->Q3->Q0->Q1,4,2022,23,9,0.22799208704253215,404,1097,489
caba9093f456,Q4->Q1->Q0->Q4,4,1957,19,9,0.21512519161982627,187,733,1011
4a248d65b37d,Q1->Q0->Q5->Q1,4,1935,23,9,0.21188630490956073,429,1025,430
91fb4aa696d8,Q0->Q1->Q4->Q0,4,1907,21,9,0.19559517566858942,210,899,758
c712d85b0700,Q1->Q4->Q5->Q1,4,1796,20,9,0.1915367483296214,254,905,606
cdac6f80a697,Q1->Q5->Q0->Q1,4,1744,23,9,0.1915137614678899,444,909,363
