looser_filter_id,stricter_filter_id,candidate_subset_violations,cluster_subset_violations
F000,F001,0,0
F000,F002,0,0
F000,F010,0,0
F000,F011,0,0
F000,F012,0,0
F000,F020,0,0
F000,F021,0,0
F000,F022,0,0
F000,F100,0,0
F000,F101,0,0
F000,F102,0,0
F000,F110,0,0
F000,F111,0,0
F000,F112,0,0
F000,F120,0,0
F000,F121,0,0
F000,F122,0,0
F000,F200,0,0
F000,F201,0,0
F000,F202,0,0
F000,F210,0,0
F000,F211,0,0
F000,F212,0,0
F000,F220,0,0
F000,F221,0,0
F000,F222,0,0
F001,F002,0,0
F001,F011,0,0
F001,F012,0,0
F001,F021,0,0
F001,F022,0,0
F001,F101,0,0
F001,F102,0,0
F001,F111,0,0
F001,F112,0,0
F001,F121,0,0
F001,F122,0,0
F001,F201,0,0
F001,F202,0,0
F001,F211,0,0
F001,F212,0,0
F001,F221,0,0
F001,F222,0,0
F002,F012,0,0
F002,F022,0,0
F002,F102,0,0
F002,F112,0,0
F002,F122,0,0
F002,F202,0,0
F002,F212,0,0
F002,F222,0,0
F010,F011,0,0
F010,F012,0,0
F010,F020,0,0
F010,F021,0,0
F010,F022,0,0
F010,F110,0,0
F010,F111,0,0
F010,F112,0,0
F010,F120,0,0
F010,F121,0,0
F010,F122,0,0
F010,F210,0,0
F010,F211,0,0
F010,F212,0,0
F010,F220,0,0
F010,F221,0,0
F010,F222,0,0
F011,F012,0,0
F011,F021,0,0
F011,F022,0,0
F011,F111,0,0
F011,F112,0,0
F011,F121,0,0
F011,F122,0,0
F011,F211,0,0
F011,F212,0,0
F011,F221,0,0
F011,F222,0,0
F012,F022,0,0
F012,F112,0,0
F012,F122,0,0
F012,F212,0,0
F012,F222,0,0
F020,F021,0,0
F020,F022,0,0
F020,F120,0,0
F020,F121,0,0
F020,F122,0,0
F020,F220,0,0
F020,F221,0,0
F020,F222,0,0
F021,F022,0,0
F021,F121,0,0
F021,F122,0,0
F021,F221,0,0
F021,F222,0,0
F022,F122,0,0
F022,F222,0,0
F100,F101,0,0
F100,F102,0,0
F100,F110,0,0
F100,F111,0,0
F100,F112,0,0
F100,F120,0,0
F100,F121,0,0
F100,F122,0,0
F100,F200,0,0
F100,F201,0,0
F100,F202,0,0
F100,F210,0,0
F100,F211,0,0
F100,F212,0,0
F100,F220,0,0
F100,F221,0,0
F100,F222,0,0
F101,F102,0,0
F101,F111,0,0
F101,F112,0,0
F101,F121,0,0
F101,F122,0,0
F101,F201,0,0
F101,F202,0,0
F101,F211,0,0
F101,F212,0,0
F101,F221,0,0
F101,F222,0,0
F102,F112,0,0
F102,F122,0,0
F102,F202,0,0
F102,F212,0,0
F102,F222,0,0
F110,F111,0,0
F110,F112,0,0
F110,F120,0,0
F110,F121,0,0
F110,F122,0,0
F110,F210,0,0
F110,F211,0,0
F110,F212,0,0
F110,F220,0,0
F110,F221,0,0
F110,F222,0,0
F111,F112,0,0
F111,F121,0,0
F111,F122,0,0
F111,F211,0,0
F111,F212,0,0
F111,F221,0,0
F111,F222,0,0
F112,F122,0,0
F112,F212,0,0
F112,F222,0,0
F120,F121,0,0
F120,F122,0,0
F120,F220,0,0
F120,F221,0,0
F120,F222,0,0
F121,F122,0,0
F121,F221,0,0
F121,F222,0,0
F122,F222,0,0
F200,F201,0,0
F200,F202,0,0
F200,F210,0,0
F200,F211,0,0
F200,F212,0,0
F200,F220,0,0
F200,F221,0,0
F200,F222,0,0
F201,F202,0,0
F201,F211,0,0
F201,F212,0,0
F201,F221,0,0
F201,F222,0,0
F202,F212,0,0
F202,F222,0,0
F210,F211,0,0
F210,F212,0,0
F210,F220,0,0
F210,F221,0,0
F210,F222,0,0
F211,F212,0,0
F211,F221,0,0
F211,F222,0,0
F212,F222,0,0
F220,F221,0,0
F220,F222,0,0
F221,F222,0,0
