capture_id,research_date,role,segment_id,candidate_ts_ns,candidate_event_seq,candidate_checkpoint_index,initial_direction,prequiet_checkpoint_count,qualifying_exposure_ms,peak_pressure_up,peak_pressure_down,integrated_pressure_up_score_ms,integrated_pressure_down_score_ms,raw_micro_crossing_count,bid_depth_baseline,ask_depth_baseline,spread_baseline,obi_baseline,activity_baseline,baseline_checkpoint_count,candidate_status,candidate_end_ts_ns,candidate_end_event_seq,qualification_elapsed_ms
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,0,1785314538540000000,256319,44516,1,53,60.0,4106.6680908203125,0.0,233997.1669769287,0.0,1,0.9161666631698608,6.814499855041504,1.0,-0.7629786133766174,1.0,45,pre_confirmation_direction_switch,1785314538620000000,256329,80.0
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,0,1785314691640000000,300035,52171,1,74,0.0,586.9573440551758,0.0,15485.308246612549,0.0,1,12.621999740600586,2.063166618347168,1.0,0.719013512134552,1.0,45,pre_confirmation_direction_switch,1785314691680000000,300095,40.0
2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,0,1785713866960000000,31967,13794,-1,51,20.0,0.0,35.18762493133545,0.0,1629.2150115966797,1,2.1554999351501465,2.008500099182129,1.0,0.03530259430408478,1.0,45,transient_rejected,1785713867220000000,31976,260.0
2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,0,1785715048480000000,267479,72870,1,58,40.0,116.27483749389648,0.0,6727.96012878418,0.0,1,0.32066667079925537,2.1078333854675293,9.0,-0.7359138131141663,1.0,45,transient_rejected,1785715048740000000,267484,260.0
2026-08-03_3a405386e85b,2026-08-03,historical_method_development,0,1785724072940000000,359720,73867,-1,58,20.0,0.0,121.71685600280762,0.0,5204.187568128109,1,2.3421666622161865,6.61899995803833,1.0,-0.4772630035877228,1.0,45,pre_confirmation_direction_switch,1785724073100000000,359737,160.0
2026-08-03_1dd085c2ccc5,2026-08-03,historical_method_development,0,1785725508320000000,201577,55588,1,61,40.0,226.66398239135742,0.0,13599.838943481445,0.0,1,3.318666696548462,5.73033332824707,1.0,-0.2665119469165802,1.0,45,transient_rejected,1785725508580000000,201585,260.0
2026-08-03_1dd085c2ccc5,2026-08-03,historical_method_development,0,1785725926040000000,258217,76474,1,53,60.0,8629.586730957031,0.0,326429.00329589844,0.0,1,3.122999906539917,0.4963333308696747,4.0,0.7257322072982788,1.0,45,pre_confirmation_direction_switch,1785725926120000000,258270,80.0
2026-08-03_7f200bdbf129,2026-08-03,historical_method_development,0,1785726347300000000,20933,7502,-1,75,100.0,0.0,632.0936723947525,0.0,29388.208611011505,2,2.499833345413208,0.8830000162124634,1.0,0.47795242071151733,1.0,45,confirmed,1785726347420000000,20961,120.0
2026-08-03_7f200bdbf129,2026-08-03,historical_method_development,0,1785726569040000000,56431,18589,-1,57,60.0,0.0,1090.1558532714844,0.0,67624.56260681152,1,10.565166473388672,2.697666645050049,4.0,0.5931990146636963,1.0,45,pre_confirmation_direction_switch,1785726569120000000,56485,80.0
2026-08-03_7f200bdbf129,2026-08-03,historical_method_development,0,1785726811460000000,91317,30710,1,62,100.0,4512.922302246094,0.0,370160.70655822754,0.0,1,1.3636666536331177,27.079666137695312,1.0,-0.9041134715080261,1.0,45,confirmed,1785726811560000000,91337,100.0
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,0,1785728219140000000,43519,11060,1,67,100.0,61.42278003692627,0.0,5156.42683506012,0.0,2,1.2934999465942383,7.565499782562256,1.0,-0.7079805731773376,1.0,45,confirmed,1785728219380000000,43526,240.0
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,0,1785728830380000000,137000,41622,1,53,40.0,3937.0758666992188,17.4332332611084,236019.94873046875,1045.993995666504,1,2.004499912261963,1.1711666584014893,1.0,0.26241210103034973,1.0,45,pre_confirmation_direction_switch,1785728830440000000,137004,60.0
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,0,1785728845800000000,138607,42393,-1,57,40.0,0.0,339.83555603027344,0.0,14553.229064941406,1,18.183834075927734,0.6940000057220459,1.0,0.9264746308326721,1.0,45,transient_rejected,1785728846060000000,138613,260.0
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,0,1785728921900000000,147624,46198,1,65,60.0,724.698844909668,0.0,45949.80484008789,0.0,1,3.3371665477752686,10.157999992370605,4.0,-0.505427896976471,1.0,45,transient_rejected,1785728922160000000,147631,260.0
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,0,1785728973100000000,153571,48758,1,75,60.0,1507.1593322753906,0.7660040259361267,67617.06732273102,15.320080518722534,1,4.774333477020264,0.5903333425521851,3.0,0.7795069813728333,1.0,45,pre_confirmation_direction_switch,1785728973180000000,153575,80.0
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,0,1785728984880000000,155000,49347,-1,51,40.0,0.0,44.37537670135498,0.0,2670.5516150593758,1,2.253166675567627,0.7378333210945129,1.0,0.5066310167312622,1.0,45,transient_rejected,1785728985140000000,155004,260.0
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,0,1785729512820000000,253591,75744,-1,61,20.0,0.0,634.7086944580078,0.0,25297.953491210938,1,3.9748332500457764,0.3331666588783264,1.0,0.8453265428543091,2.0,45,pre_confirmation_direction_switch,1785729512860000000,253597,40.0
2026-08-04_a6a45be8a495,2026-08-04,historical_method_development,0,1785812236980000000,2523317,355711,-1,72,60.0,0.0,1685.3629989624023,0.0,90693.85135650635,1,1.9361666440963745,3.755000114440918,1.0,-0.319588840007782,1.0,45,pre_confirmation_direction_switch,1785812237060000000,2523361,80.0
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786071269580000000,2734198,343951,-1,54,60.0,8.792572975158691,5315.152450561523,175.85145950317383,297891.2889480591,1,78.09866333007812,2.6453332901000977,1.0,0.9344760179519653,1.0,45,pre_confirmation_direction_switch,1786071269680000000,2734327,100.0
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786071299500000000,2739130,345447,-1,54,100.0,4.157409191131592,29.389941692352295,246.5315341949463,3291.9633293151855,2,8.70199966430664,3.323166608810425,1.0,0.4472980201244354,1.0,45,confirmed,1786071299700000000,2739137,200.0
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786072894420000000,3110305,425193,1,55,100.0,1558.3383483886719,0.051503658294677734,93996.43179893494,1.0300731658935547,2,2.9728333950042725,1.680999994277954,1.0,0.2772741913795471,1.0,45,confirmed,1786072894560000000,3110384,140.0
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786074298420000000,3422469,495393,1,50,40.0,2464.9005060195923,0.0,147625.69248199463,0.0,1,6.950333118438721,1.2059999704360962,1.0,0.7039158940315247,1.0,45,pre_confirmation_direction_switch,1786074298480000000,3422475,60.0
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786074594420000000,3483213,510193,1,111,80.0,2292.5514526367188,1.3603083491325378,99048.38111877441,75.50214171409607,1,4.315999984741211,2.2668333053588867,1.0,0.3112894594669342,1.0,45,transient_rejected,1786074594680000000,3483244,260.0
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786076728200000000,4012235,616882,-1,53,40.0,0.9780993461608887,221.59613037109375,19.561986923217773,9947.512941360474,1,1.5,3.2228333950042725,1.0,-0.36478808522224426,1.0,45,pre_confirmation_direction_switch,1786076728280000000,4012251,80.0
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2,1786077397320000000,4168185,650338,1,50,100.0,109.19737720489502,0.0,5423.879776000977,0.0,1,3.7850000858306885,12.201833724975586,1.0,-0.5264853239059448,1.0,45,confirmed,1786077397420000000,4168206,100.0
2026-08-24_aeee94c4bfe5,2026-08-24,historical_blocked_validation,0,1787534106220000000,561535,82879,1,50,40.0,69.69558525085449,2.3966569304466248,4134.870567321777,95.82579135894775,1,5.7876667976379395,2.881999969482422,1.0,0.3351532220840454,2.0,45,pre_confirmation_direction_switch,1787534106440000000,561607,220.0
2026-08-24_aeee94c4bfe5,2026-08-24,historical_blocked_validation,1,1787539074520000000,2126041,331294,1,81,40.0,161.0593557357788,0.05007268860936165,9663.561344146729,2.002907544374466,1,12.855999946594238,5.003666877746582,1.0,0.43966853618621826,1.0,45,transient_rejected,1787539074780000000,2126047,260.0
