capture_id,research_date,checkpoint_count,eligible_checkpoint_count,quiet_checkpoint_count,structural_checkpoint_count,raw_micro_crossing_count,candidate_count,confirmed_excursion_count,safe_reentry_anchor_count
2026-07-29_c092d6b4402c,2026-07-29,359999,356949,219673,0,0,0,0,0
2026-07-29_0540d8311fc2,2026-07-29,89991,86941,41177,24671,8856,2,0,0
2026-07-30_2cc63928e27f,2026-07-30,89989,86939,36409,11455,5150,0,0,0
2026-07-30_bd0fb3d8fa82,2026-07-30,89992,86942,36280,12142,5195,0,0,0
2026-07-30_d88a85361fb1,2026-07-30,89990,86940,36168,11725,5060,0,0,0
2026-07-30_b19ed82d662d,2026-07-30,89988,86938,35657,11690,5132,0,0,0
2026-07-30_1b18a29f3daf,2026-07-30,89991,86941,51798,0,0,0,0,0
2026-07-30_c655ea10171f,2026-07-30,89990,86940,35174,14261,6029,0,0,0
2026-07-30_f91aa7f4acf1,2026-07-30,89993,86943,34790,15382,6538,0,0,0
2026-07-30_47309d2a7046,2026-07-30,89990,86940,35665,16853,6898,0,0,0
2026-08-03_f1ce2c62420e,2026-08-03,89987,86937,41946,21807,8221,2,0,0
2026-08-03_d0a70a33d273,2026-08-03,89988,86938,34123,14211,6141,0,0,0
2026-08-03_098332acc16a,2026-08-03,89990,86940,51010,0,0,0,0,0
2026-08-03_b7b76aed76b8,2026-08-03,89991,86941,55891,0,0,0,0,0
2026-08-03_2994fc7a75af,2026-08-03,89993,86943,37662,23752,8871,0,0,0
2026-08-03_3a405386e85b,2026-08-03,89991,86941,38804,26154,9416,1,0,0
2026-08-03_1dd085c2ccc5,2026-08-03,89991,86941,42834,26176,8905,2,0,0
2026-08-03_7f200bdbf129,2026-08-03,89990,86940,42450,26116,8990,3,2,1
2026-08-03_c6ba75ad540b,2026-08-03,89990,86940,43035,25971,8933,7,1,0
2026-08-03_d8e3322d6f2c,2026-08-03,89992,86942,69159,0,0,0,0,0
2026-08-04_a6a45be8a495,2026-08-04,359991,356941,149057,81330,31805,1,0,0
2026-08-07_46d1e1a74698,2026-08-07,719988,710838,323251,186573,70876,7,3,0
2026-08-24_aeee94c4bfe5,2026-08-24,719988,713888,324142,206676,74589,7,2,0
2026-08-25_fd89fc8de22f,2026-08-25,719990,713890,325240,210105,72580,10,2,0
2026-08-26_164de1d394f7,2026-08-26,374990,371940,174246,110418,40010,13,2,0
2026-08-26_a055aa6c7a87,2026-08-26,374989,371939,326862,0,0,0,0,0
2026-08-26_7e4d0a9ed099,2026-08-26,374992,371942,196899,97264,33833,23,5,0
2026-08-26_20fa36ad4d76,2026-08-26,374993,371943,267183,57813,20835,161,20,0
2026-08-27_ba5ebc09e758,2026-08-27,374988,371938,176227,103845,37444,14,5,0
