direction_switch_count,episode_count,episode_share
0,2,0.047619047619047616
1,1,0.023809523809523808
4,1,0.023809523809523808
5,1,0.023809523809523808
10,1,0.023809523809523808
20,1,0.023809523809523808
21,1,0.023809523809523808
24,1,0.023809523809523808
29,1,0.023809523809523808
30,1,0.023809523809523808
36,2,0.047619047619047616
76,1,0.023809523809523808
93,1,0.023809523809523808
120,1,0.023809523809523808
125,1,0.023809523809523808
179,1,0.023809523809523808
223,1,0.023809523809523808
236,1,0.023809523809523808
313,1,0.023809523809523808
508,1,0.023809523809523808
531,1,0.023809523809523808
575,1,0.023809523809523808
632,1,0.023809523809523808
657,2,0.047619047619047616
729,1,0.023809523809523808
775,1,0.023809523809523808
811,1,0.023809523809523808
903,1,0.023809523809523808
960,1,0.023809523809523808
961,1,0.023809523809523808
1176,1,0.023809523809523808
1410,1,0.023809523809523808
1705,1,0.023809523809523808
2906,1,0.023809523809523808
3200,1,0.023809523809523808
3864,1,0.023809523809523808
4397,1,0.023809523809523808
8440,1,0.023809523809523808
13859,1,0.023809523809523808
