rejection_component,bucket_count,rows,fills,mean_markout_5s_ticks,mean_spread_capture_ticks,mean_fill_after_cancel_rate,source
adverse_5s_markout,5,5510,274,-99.69936117350984,7.093094328534475,0.5146331668135959,stage9k_clean_decision_visible_trigger_metrics
cancel_readd_pressure,13,29,3,-100.5000000000291,-2.8333333333527357,0.6666666666666666,stage9k_clean_decision_visible_trigger_metrics
fast_cancel_churn,73,2808,29,-64.5666666666851,9.644736842124793,0.9736842105263158,stage9k_clean_decision_visible_trigger_metrics
high_fill_after_cancel_sensitivity,59,23716,436,-64.64825252041248,16.826109876228337,0.8750178452047078,stage9k_clean_decision_visible_trigger_metrics
latency_stale_context_stale_latency_high,69,7652,144,-70.4666493691646,9.502477152471991,0.6874449624449624,stage9k_clean_decision_visible_trigger_metrics
latency_stale_context_stale_latency_join_stale,22,434,8,-200.49999999999272,15.357142857163646,0.8571428571428571,stage9k_clean_decision_visible_trigger_metrics
latency_stale_context_stale_latency_medium,79,16455,447,-27.583509928458593,16.49457103356928,0.6157654140167308,stage9k_clean_decision_visible_trigger_metrics
negative_spread_capture,6,1223,82,-85.17463235294618,-7.430423280414046,0.4746693121693122,stage9k_clean_decision_visible_trigger_metrics
post_only_safety_context_clamped,45,418,6,245.33333333332848,37.33333333337214,0.8333333333333334,stage9k_clean_decision_visible_trigger_metrics
post_only_safety_context_guarded_depth_fallback,85,7833,131,-97.44920634922076,10.57776643990861,0.6543711843711844,stage9k_clean_decision_visible_trigger_metrics
recent_reject_or_throttle,134,31123,881,-45.56592338302091,14.608928133203767,0.5868304797715095,stage9k_clean_decision_visible_trigger_metrics
reject_throttle_drop,26,267,17,-245.83333333332791,13.907407407419264,0.3888888888888889,stage9k_clean_decision_visible_trigger_metrics
weak_spread_capture,49,7146,502,-88.1196520256931,0.8275786330900952,0.569199910751423,stage9k_clean_decision_visible_trigger_metrics
