inventory_bucket,side_class,quote_distance_bucket,fair_or_reservation_edge_bucket,latency_stale_bucket,post_only_safety_bucket,reject_throttle_churn_bucket,fill_after_cancel_bucket,clean_verdict,accepted_verdict,clean_fills,accepted_fills,fill_delta_from_caveated,clean_markout,accepted_markout,clean_spread,accepted_spread,stability,scope,bucket_count,rows,fills,ready_for_policy_design,needs_more_clean_fills,reject_quality_negative,not_decisionable,verdict_taxonomy
flat,flat_side,step_back_gt1,edge_adverse,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_adverse,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,clamped,recent_reject_or_throttle,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,guarded_depth_fallback,churn_normal,all_fill_after_cancel_outcomes,needs_more_clean_fills,needs_more_clean_fills,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,guarded_depth_fallback,fast_cancel_churn,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,guarded_depth_fallback,recent_reject_or_throttle,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,churn_normal,all_fill_after_cancel_outcomes,needs_more_clean_fills,needs_more_clean_fills,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,fast_cancel_churn,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,24,25,1,64.11904761906564,61.45454545456398,32.02173913040694,31.416666666633926,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,reject_throttle_or_drop,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_gap_crossed,missing_anchor,churn_normal,all_fill_after_cancel_outcomes,not_decisionable,needs_more_clean_fills,0,0,0,,,,,changed_with_caveated,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_gap_crossed,missing_anchor,fast_cancel_churn,all_fill_after_cancel_outcomes,not_decisionable,reject_quality_negative,0,0,0,,,,,changed_with_caveated,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_gap_crossed,missing_anchor,recent_reject_or_throttle,all_fill_after_cancel_outcomes,not_decisionable,reject_quality_negative,0,0,0,,,,,changed_with_caveated,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,clamped,churn_normal,all_fill_after_cancel_outcomes,needs_more_clean_fills,needs_more_clean_fills,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,clamped,fast_cancel_churn,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,clamped,recent_reject_or_throttle,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,churn_normal,all_fill_after_cancel_outcomes,needs_more_clean_fills,needs_more_clean_fills,0,1,1,,,,1.4999999999417923,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,fast_cancel_churn,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,1,1,0,-6.5000000000873115,-6.5000000000873115,2.5,2.5,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,all_fill_after_cancel_outcomes,needs_more_clean_fills,needs_more_clean_fills,1,1,0,-38.50000000005821,-38.50000000005821,1.4999999999417923,1.4999999999417923,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,fast_cancel_churn,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,9,10,1,-90.5000000000291,-107.21428571431066,14.06249999996362,16.666666666634327,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_join_stale,guarded_depth_fallback,churn_normal,all_fill_after_cancel_outcomes,needs_more_clean_fills,needs_more_clean_fills,1,1,0,-80.49999999988358,-80.49999999988358,19.500000000116415,19.500000000116415,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_join_stale,guarded_depth_fallback,fast_cancel_churn,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,1,1,0,,,35.500000000029104,35.500000000029104,same_verdict,,,,,,,,,
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_join_stale,guarded_depth_fallback,recent_reject_or_throttle,all_fill_after_cancel_outcomes,reject_quality_negative,reject_quality_negative,0,0,0,,,,,same_verdict,,,,,,,,,
