rejection_component,bucket_count,rows,fills,mean_markout_5s_ticks,mean_spread_capture_ticks,mean_fill_after_cancel_rate,source
adverse_5s_markout,6,6658,339,-102.04995857697793,6.056088255557274,0.5006175500255281,stage9k_clean_decision_visible_trigger_metrics
cancel_readd_pressure,13,34,3,-100.5000000000291,-2.8333333333527357,0.6666666666666666,stage9k_clean_decision_visible_trigger_metrics
fast_cancel_churn,77,3848,35,-65.40625000001455,11.091269841292362,0.9761904761904762,stage9k_clean_decision_visible_trigger_metrics
high_fill_after_cancel_sensitivity,61,28148,458,-64.48835698719824,16.847822616689317,0.8816941280190261,stage9k_clean_decision_visible_trigger_metrics
latency_stale_context_stale_latency_high,71,9827,169,-65.13950332822601,10.037318121697389,0.6998436748436748,stage9k_clean_decision_visible_trigger_metrics
latency_stale_context_stale_latency_join_stale,22,602,9,-200.49999999999272,15.62500000001819,0.75,stage9k_clean_decision_visible_trigger_metrics
latency_stale_context_stale_latency_medium,80,18461,486,-28.61447475752122,16.96287736421649,0.6053285267278071,stage9k_clean_decision_visible_trigger_metrics
negative_spread_capture,5,935,60,-81.41349206350978,-8.788516746396564,0.46810207336523124,stage9k_clean_decision_visible_trigger_metrics
post_only_safety_context_clamped,45,431,6,245.33333333332848,37.33333333337214,0.8333333333333334,stage9k_clean_decision_visible_trigger_metrics
post_only_safety_context_guarded_depth_fallback,88,9832,154,-97.97729591838511,11.386516991787632,0.6395933014354067,stage9k_clean_decision_visible_trigger_metrics
recent_reject_or_throttle,136,35110,963,-43.33943907163008,14.607735944846386,0.5716626444183533,stage9k_clean_decision_visible_trigger_metrics
reject_throttle_drop,26,267,17,-245.83333333332791,13.907407407419264,0.3888888888888889,stage9k_clean_decision_visible_trigger_metrics
weak_spread_capture,50,8383,584,-85.22962082130007,0.795200892655331,0.5561335960200986,stage9k_clean_decision_visible_trigger_metrics
