coarsening_variant,inventory_bucket,side_class,quote_distance_bucket,fair_or_reservation_edge_bucket,latency_stale_bucket,post_only_safety_bucket,reject_throttle_churn_bucket,rows,fills,fills_needed_for_min_clean_fills,samples_needed_for_min_clean_samples,fill_samples_needed_for_min_coverage,sample_count,fill_sample_count,recommendation
churn_warning_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,market_view_usable,post_only_clean,warning_churn_context,2901,36,4,0,0,8,7,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,266,22,18,0,0,8,7,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,99,16,24,0,0,8,8,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,1392,15,25,0,0,8,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,809,14,26,0,0,8,8,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,89,12,28,0,0,8,5,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,93,12,28,0,0,8,5,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,near_touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,89,12,28,0,0,8,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,1349,12,28,0,0,8,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,93,12,28,0,0,8,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,134,11,29,0,0,8,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,185,11,29,0,0,8,7,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,85,10,30,0,0,8,5,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,78,10,30,0,0,8,5,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,86,10,30,0,0,8,5,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,near_touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,85,10,30,0,0,8,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,1274,10,30,0,0,8,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,78,10,30,0,0,8,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,162,10,30,0,0,8,7,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,86,10,30,0,0,8,5,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,churn_normal,60,9,31,0,0,8,5,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,near_touch,edge_strong_favorable,fresh_low_latency,post_only_clean,churn_normal,60,9,31,0,0,8,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,686,9,31,0,0,8,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,touch,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,80,9,31,0,0,7,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,89,9,31,0,0,8,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,82,9,31,0,0,8,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,140,8,32,0,0,8,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,833,8,32,0,0,8,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,119,8,32,0,0,8,4,target clean observed fills in this decision-visible regime
identity,mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,35,7,33,0,0,6,5,target clean observed fills in this decision-visible regime
identity,mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,42,7,33,0,0,7,5,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,37,7,33,0,0,6,5,target clean observed fills in this decision-visible regime
