axis_name,axis_value,bucket_count,rows,fills,fill_rate,sample_count,fill_sample_count,side_adjusted_markout_5000ms_mean,spread_capture_ticks_mean,fee_adjusted_spread_capture_ticks_mean,fill_after_cancel_rate,inventory_increasing_fill_rate,inventory_reducing_fill_rate,post_only_risk_rows,post_only_risk_rate,reject_throttle_churn_rows,reject_throttle_churn_rate,warning_churn_rows,warning_churn_rate,hard_reject_drop_rows,hard_reject_drop_rate
fair_or_reservation_edge_bucket,edge_non_adverse,344,81990,2204,0.026881,1753,616,-76.991764,11.304076,11.304076,0.529946,0.241379,0.245009,0,0,78494,0.923775,38980,0.454174,39514,0.469601
fair_or_reservation_edge_bucket,edge_strong_favorable,264,17904,1416,0.079088,1116,438,-86.288182,1.090967,1.090967,0.457627,0.245763,0.25565,0,0,16654,0.90113,0,0,16654,0.90113
fair_or_reservation_edge_bucket,edge_weak_or_neutral,372,64086,788,0.012296,1582,322,-59.769041,29.725035,29.725035,0.659898,0.233503,0.225888,0,0,61840,0.964467,0,0,61840,0.964467
fair_or_reservation_edge_bucket,edge_adverse,32,52,0,0,40,0,,,,,,,0,0,48,0.875,12,0.1875,36,0.6875
inventory_bucket,large_skew_or_low_score,418,82640,2212,0.026767,1990,644,-81.761898,10.290716,10.290716,0.529837,0.155515,0.334539,0,0,78456,0.909584,19519,0.225588,58937,0.683996
inventory_bucket,mild_skew,396,54132,1464,0.027045,1692,515,-84.063111,11.748406,11.748406,0.543716,0.243169,0.23224,0,0,52204,0.918033,12915,0.222678,39289,0.695355
inventory_bucket,flat,198,27260,732,0.026853,809,217,-48.818074,13.495484,13.495484,0.502732,0.497268,0,0,0,26376,0.978142,6558,0.240437,19818,0.737705
latency_stale_bucket,market_view_usable,166,58116,1708,0.029389,702,295,-77.270964,12.308481,12.308481,0.531616,0.235363,0.248244,0,0,57660,0.983607,28563,0.48185,29097,0.501756
latency_stale_bucket,stale_latency_medium,174,36974,976,0.026397,692,252,-81.308104,13.305842,13.305842,0.555328,0.266393,0.215164,0,0,36922,0.995902,0,0,36922,0.995902
latency_stale_bucket,stale_latency_high,362,44832,940,0.020967,1926,601,-74.710021,7.574594,7.574594,0.514894,0.255319,0.238298,0,0,39308,0.719149,9827,0.179787,29481,0.539362
latency_stale_bucket,fresh_low_latency,194,21142,732,0.034623,666,176,-71.690924,10.993243,10.993243,0.5,0.193989,0.29235,0,0,20738,0.967213,0,0,20738,0.967213
latency_stale_bucket,stale_latency_join_stale,116,2968,52,0.01752,505,52,-125.3,12.576923,12.576923,0.692308,0.384615,0.153846,0,0,2408,0.692308,602,0.173077,1806,0.519231
post_only_safety_bucket,post_only_clean,433,119300,3616,0.03031,2084,828,-78.532265,11.307736,11.307736,0.533186,0.242257,0.247788,0,0,115984,0.949115,28735,0.232577,87249,0.716538
post_only_safety_bucket,guarded_depth_fallback,375,42840,768,0.017927,1831,524,-80.057128,10.495729,10.495729,0.505208,0.234375,0.229167,0,0,39328,0.802083,9831,0.200521,29497,0.601562
post_only_safety_bucket,clamped,204,1892,24,0.012685,576,24,245.333333,37.333333,37.333333,0.833333,0.333333,0.333333,0,0,1724,1,426,0.25,1298,0.75
quote_distance_bucket,touch,356,27516,2148,0.078064,1495,590,-84.801214,1.085203,1.085203,0.459497,0.243017,0.259777,0,0,25590,0.902235,8425,0.295158,17165,0.607076
quote_distance_bucket,step_back_gt1,329,95508,1158,0.012125,1636,406,-62.177034,30.315933,30.315933,0.660622,0.238342,0.217617,0,0,92187,0.963731,30567,0.316926,61620,0.646805
quote_distance_bucket,near_touch,187,9172,716,0.078064,687,227,-84.928695,1.084364,1.084364,0.459497,0.243017,0.259777,0,0,8530,0.902235,0,0,8530,0.902235
quote_distance_bucket,passive_step_back,140,31836,386,0.012125,673,153,-61.857437,30.332308,30.332308,0.660622,0.238342,0.217617,0,0,30729,0.963731,0,0,30729,0.963731
reject_throttle_churn_bucket,recent_reject_or_throttle,347,105330,2889,0.027428,1848,782,-76.385597,11.99283,11.99283,0.522326,0.244029,0.23053,0,0,105330,1,0,0,105330,1
reject_throttle_churn_bucket,warning_churn_context,76,38992,1001,0.025672,467,235,-75.593367,11.968462,11.968462,0.538462,0.241758,0.235764,0,0,38992,1,38992,1,0,0
reject_throttle_churn_bucket,churn_normal,268,6996,336,0.048027,1104,226,-59.29043,2.2908,2.2908,0.452381,0.22619,0.345238,0,0,0,0,0,0,0,0
reject_throttle_churn_bucket,fast_cancel_churn,206,11544,105,0.009096,913,92,-49.160714,12.985714,12.985714,0.971429,0.171429,0.342857,0,0,11544,1,0,0,11544,1
reject_throttle_churn_bucket,reject_throttle_or_drop,66,801,51,0.06367,66,25,-236.794118,15.794118,15.794118,0.411765,0.294118,0.294118,0,0,801,1,0,0,801,1
reject_throttle_churn_bucket,hard_reject_drop,14,267,17,0.06367,14,7,-236.794118,15.794118,15.794118,0.411765,0.294118,0.294118,0,0,267,1,0,0,267,1
reject_throttle_churn_bucket,cancel_readd_pressure,35,102,9,0.088235,79,9,-100.5,-2.833333,-2.833333,0.666667,0.333333,0.666667,0,0,102,1,0,0,102,1
side_class,reduce_side,432,81752,2200,0.026911,1976,629,-82.555462,11.490534,11.490534,0.527273,0,0.489091,0,0,78044,0.914545,19379,0.225,58665,0.689545
side_class,add_side,382,55020,1476,0.026827,1706,530,-82.857694,9.951459,9.951459,0.547425,0.474255,0.00271,0,0,52616,0.910569,13055,0.223577,39561,0.686992
side_class,flat_side,198,27260,732,0.026853,809,217,-48.818074,13.495484,13.495484,0.502732,0.497268,0,0,0,26376,0.978142,6558,0.240437,19818,0.737705
