rank,coarsening_variant,inventory_bucket,side_class,quote_distance_bucket,fair_or_reservation_edge_bucket,latency_stale_bucket,post_only_safety_bucket,reject_throttle_churn_bucket,bucket_level,scope,rows_before,rows_after,rows_delta,fills_before,fills_after,fills_delta,fill_rate_before,fill_rate_after,fill_rate_delta,sample_count_before,sample_count_after,fill_sample_count_before,fill_sample_count_after,side_adjusted_markout_5000ms_before,side_adjusted_markout_5000ms_after,spread_capture_ticks_mean_before,spread_capture_ticks_mean_after,fee_adjusted_spread_capture_ticks_mean_before,fee_adjusted_spread_capture_ticks_mean_after,fill_after_cancel_rate_before,fill_after_cancel_rate_after,inventory_increasing_fill_rate_before,inventory_increasing_fill_rate_after,inventory_reducing_fill_rate_before,inventory_reducing_fill_rate_after,post_only_risk_rows_after,reject_throttle_churn_rows_after,warning_churn_rows_after,hard_reject_drop_rows_after,verdict_after,triage_decision,triage_reason
1,churn_warning_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,market_view_usable,post_only_clean,warning_churn_context,coarsened_decision_visible_trigger,clean_only,2605,2901,296,34,36,2,0.013052,0.01241,-0.000642,7,8,6,7,-30.790323,-30.790323,35.941176,34.694444,35.941176,34.694444,0.647059,0.666667,0.441176,0.444444,0,0,0,2901,2901,0,needs_more_clean_fills,short_collection_to_cross_minimum_only,best current clean candidate; 4 fills short and the quality profile is better than the main alternatives
2,churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,market_view_usable,post_only_clean,warning_churn_context,coarsened_decision_visible_trigger,clean_only,2082,2267,185,156,169,13,0.074928,0.074548,-0.00038,7,8,7,8,-91.475,-87.832192,1.211538,1.156805,1.211538,1.156805,0.423077,0.414201,0,0,0.525641,0.52071,0,2267,2267,0,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
3,edge_latency_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,market_view_usable,post_only_clean,recent_reject_or_throttle,coarsened_decision_visible_trigger,clean_only,1976,2147,171,151,164,13,0.076417,0.076386,-0.000031,7,8,7,8,-94.209559,-90.348592,1.076159,1.030488,1.076159,1.030488,0.403974,0.396341,0,0,0.529801,0.52439,0,2147,0,2147,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
4,identity,large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,coarsened_decision_visible_trigger,clean_only,991,1073,82,83,89,6,0.083754,0.082945,-0.000809,7,8,6,7,-85.519231,-85.519231,1.831325,1.741573,1.831325,1.741573,0.433735,0.41573,0,0,0.518072,0.52809,0,1073,0,1073,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
5,quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,near_touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,coarsened_decision_visible_trigger,clean_only,991,1073,82,83,89,6,0.083754,0.082945,-0.000809,7,8,6,7,-85.519231,-85.519231,1.831325,1.741573,1.831325,1.741573,0.433735,0.41573,0,0,0.518072,0.52809,0,1073,0,1073,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
6,churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,market_view_usable,post_only_clean,warning_churn_context,coarsened_decision_visible_trigger,clean_only,935,1004,69,79,86,7,0.084492,0.085657,0.001165,7,8,7,8,-105.302817,-105.959459,0.348101,0.360465,0.348101,0.360465,0.518987,0.488372,0.481013,0.465116,0,0,0,1004,1004,0,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
7,edge_latency_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,market_view_usable,post_only_clean,recent_reject_or_throttle,coarsened_decision_visible_trigger,clean_only,925,993,68,79,86,7,0.085405,0.086606,0.001201,7,8,7,8,-105.302817,-105.959459,0.348101,0.360465,0.348101,0.360465,0.518987,0.488372,0.481013,0.465116,0,0,0,993,0,993,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
8,churn_warning_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,market_view_usable,post_only_clean,warning_churn_context,coarsened_decision_visible_trigger,clean_only,928,992,64,78,83,5,0.084052,0.083669,-0.000382,7,8,7,8,-67.569444,-64.14,2.461538,2.343373,2.461538,2.343373,0.538462,0.53012,0,0,0.512821,0.506024,0,992,992,0,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
9,edge_latency_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,market_view_usable,post_only_clean,recent_reject_or_throttle,coarsened_decision_visible_trigger,clean_only,923,984,61,78,83,5,0.084507,0.08435,-0.000157,7,8,7,8,-67.569444,-64.14,2.461538,2.343373,2.461538,2.343373,0.538462,0.53012,0,0,0.512821,0.506024,0,984,0,984,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
10,churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,market_view_usable,post_only_clean,warning_churn_context,coarsened_decision_visible_trigger,clean_only,5020,5613,593,74,77,3,0.014741,0.013718,-0.001023,7,8,7,8,-60.848485,-59.382353,30.090278,29.853333,30.090278,29.853333,0.716216,0.714286,0,0,0.472973,0.493506,0,5613,5613,0,reject_quality_negative,defer,usable signal but not clearly better than the top gap
11,churn_warning_coarsened,flat,flat_side,touch,edge_non_adverse,market_view_usable,post_only_clean,warning_churn_context,coarsened_decision_visible_trigger,clean_only,1015,1072,57,66,74,8,0.065025,0.06903,0.004005,7,8,7,8,-82.801887,-81.982143,1.734375,1.625,1.734375,1.625,0.469697,0.459459,0.454545,0.445946,0,0,0,1072,1072,0,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
12,edge_latency_coarsened,flat,flat_side,touch,edge_non_adverse,market_view_usable,post_only_clean,recent_reject_or_throttle,coarsened_decision_visible_trigger,clean_only,1006,1063,57,66,74,8,0.065606,0.069614,0.004008,7,8,7,8,-82.801887,-81.982143,1.734375,1.625,1.734375,1.625,0.469697,0.459459,0.454545,0.445946,0,0,0,1063,0,1063,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
13,churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,market_view_usable,post_only_clean,warning_churn_context,coarsened_decision_visible_trigger,clean_only,947,1026,79,65,74,9,0.068638,0.072125,0.003487,7,8,7,8,-99.589286,-94.887097,0.6875,0.666667,0.6875,0.666667,0.523077,0.5,0.492308,0.527027,0,0,0,1026,1026,0,reject_quality_negative,reject,"higher fill-rate than the top gap, but the quality profile is materially worse"
