inventory_bucket,side_class,quote_distance_bucket,fair_or_reservation_edge_bucket,latency_stale_bucket,post_only_safety_bucket,reject_throttle_churn_bucket,fill_after_cancel_bucket,bucket_level,scope,rows_before,rows_after,rows_delta,fills_before,fills_after,fills_delta,sample_count_before,sample_count_after,sample_count_delta,fill_sample_count_before,fill_sample_count_after,fill_sample_count_delta,fill_rate_before,fill_rate_after,fill_rate_delta,clean_only_fill_mass_before,clean_only_fill_mass_after,clean_only_fill_mass_delta,side_adjusted_markout_5000ms_mean_before,side_adjusted_markout_5000ms_mean_after,spread_capture_ticks_mean_before,spread_capture_ticks_mean_after,fee_adjusted_spread_capture_ticks_mean_before,fee_adjusted_spread_capture_ticks_mean_after,fill_after_cancel_rate_before,fill_after_cancel_rate_after,inventory_increasing_fill_rate_before,inventory_increasing_fill_rate_after,inventory_reducing_fill_rate_before,inventory_reducing_fill_rate_after,post_only_risk_rows_before,post_only_risk_rows_after,reject_throttle_churn_rows_before,reject_throttle_churn_rows_after,verdict_before,verdict_after,flow_class,flow_note
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,1114,1201,87,77,84,7,8,9,1,8,9,1,0.06912,0.069942,0.000821,,,0,-114.183333,-104.060606,0.194805,0.220238,0.194805,0.220238,0.363636,0.369048,0,0,0.519481,0.5,0,0,1114,1201,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,952,1039,87,66,73,7,7,8,1,7,8,1,0.069328,0.07026,0.000932,66,73,7,-112.5,-101.887097,0.143939,0.178082,0.143939,0.178082,0.378788,0.383562,0,0,0.530303,0.506849,0,0,952,1039,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,1087,1169,82,89,95,6,8,9,1,7,8,1,0.081877,0.081266,-0.000611,,,0,-83.054878,-83.054878,1.741573,1.663158,1.741573,1.663158,0.460674,0.442105,0,0,0.52809,0.536842,0,0,1087,1169,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,991,1073,82,83,89,6,7,8,1,6,7,1,0.083754,0.082945,-0.000809,83,89,6,-85.519231,-85.519231,1.831325,1.741573,1.831325,1.741573,0.433735,0.41573,0,0,0.518072,0.52809,0,0,991,1073,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,444,480,36,32,38,6,8,9,1,5,6,1,0.072072,0.079167,0.007095,,,0,-101.648148,-95.233333,0.016129,0.083333,0.016129,0.083333,0.46875,0.421053,0.59375,0.605263,0,0,0,0,444,480,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,405,441,36,28,34,6,7,8,1,4,5,1,0.069136,0.077098,0.007962,28,34,6,-95.541667,-89.092593,-0.055556,0.03125,-0.055556,0.03125,0.428571,0.382353,0.607143,0.617647,0,0,0,0,405,441,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,17,22,5,17,22,5,4,5,1,4,5,1,1,1,0,,,0,-88.9,-82.029412,-0.5,-0.3,-0.5,-0.3,0,0,0.588235,0.636364,0,0,0,0,17,22,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,16,21,5,16,21,5,3,4,1,3,4,1,1,1,0,16,21,5,-82.357143,-75.875,-0.566667,-0.342105,-0.566667,-0.342105,0,0,0.625,0.666667,0,0,0,0,16,21,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,48,53,5,48,53,5,7,8,1,7,8,1,1,1,0,,,0,-53.797872,-53.797872,0.5,0.5,0.5,0.5,0,0,0,0,0.4375,0.45283,0,0,48,53,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,47,52,5,47,52,5,6,7,1,6,7,1,1,1,0,47,52,5,-51.891304,-51.891304,0.5,0.5,0.5,0.5,0,0,0,0,0.446809,0.461538,0,0,47,52,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,559,604,45,49,53,4,8,9,1,5,6,1,0.087657,0.087748,0.000092,,,0,-128.357143,-126.590909,1.867347,1.764151,1.867347,1.764151,0.469388,0.45283,0.55102,0.528302,0,0,0,0,559,604,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,469,514,45,44,48,4,7,8,1,4,5,1,0.093817,0.093385,-0.000431,44,48,4,-138.824324,-136.294872,2.022727,1.895833,2.022727,1.895833,0.454545,0.4375,0.522727,0.5,0,0,0,0,469,514,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
