time,coin,dir,px,sz,ntl,fee,closedPnl
2025/2/27 08:07:46,HYPE/USDC,Buy,19.944,2,39.888,0.00069995,-0.013959802799999999
2025/2/27 14:09:35,HYPE/USDC,Buy,20.7402451864,82.06,1701.944519995984,0.02872086,-0.5956776783642683
2025/2/27 14:09:49,HYPE/USDC,Buy,20.7304275806,24.51,508.1027800005061,0.00857845,-0.17783493647879806
2025/5/22 14:45:40,HYPE/USDC,Sell,30.3,31.16,944.148,0.3776592,297.8043268
2025/5/22 14:45:40,HYPE/USDC,Sell,30.3,15.01,454.803,0.1819212,143.4545238
2025/5/22 14:45:40,HYPE/USDC,Sell,30.3,3.83,116.049,0.0464196,36.6043194
2025/5/22 15:32:27,HYPE/USDC,Sell,30.2,58.53,1767.606,0.7070424,553.5359666
2025/8/11 08:42:10,HYPE/USDC,Buy,45.37,34.7,1574.339,0.01388,-0.6297356
2025/8/11 08:47:33,HYPE/USDC,Buy,45.37,4.42,200.53539999999998,0.001768,-0.08021415999999999
2025/8/11 08:47:33,HYPE/USDC,Buy,45.37,33.2,1506.284,0.01328,-0.6025136
2025/8/27 11:10:56,HYPE/USDC,Sell,49.449,72.29,3574.6682100000003,2.50226774,291.1055296
2026/4/14 00:44:55,BTC,Open Long,72274,0.00014,10.11836,0.004553,-0.004553
2026/4/14 00:44:58,BTC,Close Long,72263,0.00014,10.116819999999999,0.004552,-0.006091999999999999
2026/4/14 01:04:34,WTIOIL (xyz),Open Short,94.762,1,94.762,0.008528,-0.008528
2026/4/14 01:06:18,WTIOIL (xyz),Close Short,94.769,1,94.769,0.008529,-0.015529000000000001
2026/4/14 01:14:07,COMP,Open Long,20.548,1,20.548,0.009246,-0.009246
2026/4/14 01:19:08,COMP,Close Long,20.575,1,20.575,0.009258,0.017742
2026/4/14 01:20:06,WTIOIL (xyz),Open Long,94.563,1,94.563,0.00851,-0.00851
2026/4/14 01:20:08,WTIOIL (xyz),Close Long,94.556,1,94.556,0.00851,-0.01551
2026/4/14 02:27:26,WTIOIL (xyz),Open Long,94.548,0.94,88.87512,0.007998,-0.007998
2026/4/14 02:29:40,WTIOIL (xyz),Open Long,94.329,0.95,89.61254999999998,0.008065,-0.008065
2026/4/14 02:32:48,WTIOIL (xyz),Open Long,94.31,0.95,89.5945,0.008063,-0.008063
2026/4/14 02:35:57,WTIOIL (xyz),Open Long,94.203,0.95,89.49285,0.008054,-0.008054
2026/4/14 02:37:53,WTIOIL (xyz),Open Long,94.186,0.95,89.47670000000001,0.008052,-0.008052
2026/4/14 02:40:57,WTIOIL (xyz),Open Long,94.094,0.95,89.38929999999999,0.008045,-0.008045
2026/4/14 02:42:36,WTIOIL (xyz),Open Long,94.039,0.95,89.33704999999999,0.00804,-0.00804
2026/4/14 02:45:56,WTIOIL (xyz),Open Long,93.63,0.95,88.9485,0.008005,-0.008005
2026/4/14 02:48:54,WTIOIL (xyz),Open Long,93.723,0.95,89.03685,0.008013,-0.008013
2026/4/14 02:51:48,WTIOIL (xyz),Open Long,93.142,0.96,89.41632,0.008047,-0.008047
2026/4/14 02:54:45,WTIOIL (xyz),Open Long,92.836,0.96,89.12256,0.008021,-0.008021
2026/4/14 02:57:50,WTIOIL (xyz),Open Long,92.649,0.96,88.94304,0.008004,-0.008004
2026/4/14 03:00:58,WTIOIL (xyz),Open Long,92.508,0.97,89.73276,0.008075,-0.008075
2026/4/14 03:02:31,WTIOIL (xyz),Open Long,92.734,0.96,89.02463999999999,0.008012,-0.008012
2026/4/14 03:05:22,WTIOIL (xyz),Open Long,92.675,0.96,88.96799999999999,0.008007,-0.008007
2026/4/14 07:18:46,WTIOIL (xyz),Close Long,91.844,14.31,1314.28764,0.118285,-24.788725
2026/4/14 07:43:20,WTIOIL (xyz),Open Long,91.784,0.97,89.03048,0.008012,-0.008012
2026/4/14 07:45:34,WTIOIL (xyz),Open Long,91.69,0.97,88.93929999999999,0.008004,-0.008004
2026/4/14 07:45:35,WTIOIL (xyz),Open Long,91.687,0.97,88.93638999999999,0.008004,-0.008004
2026/4/14 07:46:42,WTIOIL (xyz),Open Long,91.529,0.98,89.69842,0.008072,-0.008072
2026/4/14 07:49:51,WTIOIL (xyz),Open Long,91.469,0.98,89.63962,0.008067,-0.008067
2026/4/14 07:51:46,WTIOIL (xyz),Open Long,91.445,0.98,89.61609999999999,0.008065,-0.008065
2026/4/14 07:53:28,WTIOIL (xyz),Open Long,91.508,0.98,89.67783999999999,0.008071,-0.008071
2026/4/14 07:58:25,WTIOIL (xyz),Open Long,91.73,0.97,88.9781,0.008008,-0.008008
